ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΑΣΙΛΕΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ (ΛΑΚΗΣ) του Νικολάου,ΓΙΑΝΝΟΥ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αριστείδη,ΚΑΡΑΣΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΟΖΙΔΟΥ ΝΙΚΟΛΕΤΤΑ (ΝΙΚΗ) του Οδυσσέα,ΣΑΡΑΛΙΩΤΟΥ ΜΑΡΙΑ του Θεοδώρου,ΣΤΑΜΕΝΙΤΗΣ ΔΙΟΝΥΣΙΟΣ (ΔΙΟΝΥΣΗΣ) του Ευαγγέλου,ΣΥΡΙΖΑ,ΔΑΝΤΣΗ ΠΑΡΑΣΚΕΥΗ (ΕΥΗ) του Τρύφωνα,ΜΠΑΛΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΜΠΑΜΠΑΛΗΣ ΑΛΚΙΒΙΑΔΗΣ (ΑΛΚΗΣ) του Χρήστου,ΣΗΦΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΣΤΑΥΡΙΔΟΥ ΣΟΦΙΑ του Κωνσταντίνου,ΤΖΑΚΡΗ ΘΕΟΔΩΡΑ του Εμμανουήλ,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΛΕΞΑΝΔΡΙΔΟΥ ΡΑΧΗΛ του Νικολάου,ΖΑΡΟΓΟΥΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αριστοτέλη,ΝΟΥΣΗΚΥΡΟΥ ΑΛΚΙΒΙΑΔΗΣ (ΑΛΚΗΣ) του Γεωργίου,ΞΥΛΟΥΡΓΙΔΗΣ ΑΝΤΩΝΙΟΣ του Στυλιανού,ΠΑΠΑΔΑΚΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Γεωργίου,ΤΣΑΛΤΑΦΕΡΙΔΗΣ ΑΠΟΣΤΟΛΟΣ του Στυλιανού,Κ.Κ.Ε.,ΚΟΥΤΟΥΦΗΣ ΘΕΟΦΑΝΗΣ του Χριστόδουλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΥΜΠΙΑ του Νικολάου,ΣΟΥΜΕΛΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΣΙΤΣΑΓΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΧΑΤΖΗΒΑΣΙΛΕΙΑΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Στυλιανού,ΔΕΛΛΙΟΣ ΓΡΗΓΟΡΙΟΣ του Αντωνίου,ΚΟΥΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ελευθερίου,ΜΠΑΛΑΤΣΟΥ ΠΕΡΙΣΤΕΡΑ ΣΤΕΛΛΑ του Ιωάννη,ΞΕΦΤΕΡΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΣΙΑΡΙΔΟΥ ΣΟΦΙΑ του Ευριπίδη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΥΠΙΔΗΣ ΣΟΦΟΚΛΗΣ του Κωνσταντίνου,ΚΟΓΙΟΥ ΕΛΕΝΗ του Ιωάννη,ΜΠΑΡΜΠΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΤΖΙΓΚΑΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΤΟΠΑΛΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Χρυσοβέργη,ΤΣΑΚΙΡΙΔΗΣ-ΠΑΛΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΧΑΡΗΣ) του Σάββα,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΙΚΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΒΟΝΤΣΗ ΣΩΤΗΡΙΑ του Δημητρίου,ΖΑΓΓΑΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,Ο.Κ.Δ.Ε.,ΓΑΤΣΟΥ ΙΟΡΔΑΝΑ του Ευαγγέλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΛΚΑΝΗ ΙΦΙΓΕΝΕΙΑ του Ιωάννη,ΚΑΤΛΑΜΟΥΣΗ ΙΩΑΝΝΑ του Δημητρίου,ΚΕΧΑΓΙΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννου,ΛΟΥΣΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Πέτρου,Κίνημα 21,ΓΟΥΓΟΥΛΙΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Χρήστου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΖΙΑΝΝΗ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,ΚΟΥΦΑΛΗΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Παύλου,ΝΙΚΗ,ΒΑΣΙΛΕΙΑΔΗΣ ΑΝΤΩΝΙΟΣ του Ιωάννη,ΓΑΛΑΝΤΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΚΑΡΑΣΑΒΒΙΔΗΣ ΓΕΩΡΓΙΟΣ του Βιτάνη,ΜΑΚΡΙΔΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΜΑΡΑΝΤΙΔΟΥ ΓΕΩΡΓΙΑ του Βασιλείου,ΤΑΒΟΥΛΑΡΗ ΕΛΕΝΗ του Αναστασίου,κοινωνία αξιών,ΧΑΡΑΛΑΜΠΟΥΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΙΑΝΝΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ευάγγελου,ΔΗΜΗΤΡΙΑΔΟΥ ΑΝΤΩΝΙΑ του Κυριάκου,Ο.Α.Κ.Κ.Ε.,ΓΚΙΟΥΛΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΣΟΥΛΙΩΤΗ ΣΟΦΙΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΔΙΠΛΑΡΙΔΟΥ ΕΙΡΗΝΗ του Κωνσταντίνου,ΔΙΣΚΟΥ ΠΑΡΑΣΚΕΥΗ του Παύλου,ΜΑΤΖΑΡΗΣ ΑΡΙΣΤΕΙΔΗΣ του Γεωργίου,ΠΟΥΤΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Θεμιστοκλή,ΣΤΡΕΠΚΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,Ένωση Κεντρώων,ΑΒΑΝΙΔΟΥ ΒΑΣΙΛΙΚΗ του Προδρόμου,ΚΥΖΥΡΙΔΟΥ ΕΙΡΗΝΗ του Θεόφιλου,ΤΣΟΥΜΑΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΡΟΥΤΙΟΥΝΙΑΝ- ΔΗΜΗΤΡΙΑΔΟΥ ΙΡΜΑ- ΕΙΡΗΝΗ του Ράφαελ,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΩΣΤΑ ΑΘΑΝΑΣΙΑ του Σταύρου,ΟΥΡΕΪΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΒΕΛΤΣΟΥ ΜΑΡΙΑ του Οδυσσέα,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΧΑΤΖΗΜΙΧΑΗΛ ΑΝΤΩΝΙΟΣ του Ζαχαρία,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΣΟΡΜΠΑΤΖΟΓΛΟΥ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΙΚΟΛΑΪΔΗΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΕΑΝ...,ΔΕΛΗΧΑΤΖΟΓΛΟΥ ΠΡΟΔΡΟΜΟΣ του Ελευθερίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΛΕΥΚΗ ΜΑΡΙΝΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΕΥΣΤΡΑΤΙΟΣ του Ευθυμίου
11 - Πέλλας,1 E.T. Δήμου Αλμωπίας,536,348,12,0,12,336,154,49,28,27,3,73,59,49,2,0,1,30,3,34,31,15,5,2,6,12,3,14,1,7,3,1,1,3,23,11,7,5,2,1,8,7,1,3,0,1,3,1,2,2,1,1,1,0,0,1,1,1,0,0,0,0,2,1,1,1,1,29,9,3,20,5,8,2,1,1,1,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,3,2,1,1,1,0,0,9,5
11 - Πέλλας,2 E.T. Δήμου Αλμωπίας,530,330,3,1,4,326,140,74,13,43,5,67,40,63,5,5,4,47,5,34,29,14,10,1,6,4,3,10,0,3,1,3,0,2,24,8,7,5,4,0,5,11,2,4,1,1,2,3,1,1,1,1,1,0,0,2,1,0,1,0,3,2,4,2,1,0,0,19,7,2,9,3,9,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,2,0,3,3,0,0,1,1,0,0,8,0
11 - Πέλλας,3 E.T. Δήμου Αλμωπίας,527,318,8,2,10,308,112,36,16,35,10,40,43,61,3,1,2,35,4,39,47,33,6,7,16,13,0,14,4,8,2,0,0,2,15,6,4,2,3,1,5,5,1,1,0,1,1,0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,17,1,3,15,3,2,2,0,0,0,0,0,0,0,0,0,11,8,6,0,3,2,1,0,0,0,0,0,3,3,3,0,0,0,0,5,3,1,1,1,0,0,0,10,6
11 - Πέλλας,4 E.T. Δήμου Αλμωπίας,527,352,4,5,9,343,138,54,18,43,7,73,44,60,4,5,1,36,4,33,55,32,11,3,15,11,0,13,9,7,1,3,2,2,18,7,4,6,2,3,1,6,1,2,0,1,1,1,3,1,1,0,0,0,0,1,0,0,0,0,3,0,6,3,1,0,3,14,1,1,6,1,3,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,2,1,0,0,5,1,1,0,0,0,10,8
11 - Πέλλας,5 E.T. Δήμου Αλμωπίας,522,325,14,4,18,307,110,46,16,21,9,43,35,66,7,2,2,31,8,44,37,21,8,7,9,7,3,16,3,10,2,4,1,4,22,5,7,6,6,0,4,9,0,4,0,0,3,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,34,6,12,26,4,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,2,1
11 - Πέλλας,6 E.T. Δήμου Αλμωπίας,528,322,1,1,2,320,143,54,31,32,8,60,42,50,4,2,1,31,5,22,44,17,4,9,13,16,3,9,0,4,1,0,1,4,19,5,4,4,2,5,0,9,1,4,0,1,3,0,6,2,0,0,0,1,1,3,0,0,1,1,3,3,1,1,0,1,0,21,3,4,13,2,3,6,1,1,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,3,3
11 - Πέλλας,7 E.T. Δήμου Αλμωπίας,534,346,5,0,5,341,136,47,16,37,9,48,46,61,5,1,1,38,4,37,53,25,10,12,18,17,4,12,2,4,3,2,1,1,20,3,8,6,3,0,5,4,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,4,0,0,0,0,24,7,6,11,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,1,0,0,1,1,4,3,0,0,0,0,0,0,15,12
11 - Πέλλας,8 E.T. Δήμου Αλμωπίας,500,329,10,1,11,318,142,70,19,30,6,53,49,61,4,2,2,39,7,30,32,16,6,3,6,8,0,18,0,12,1,4,5,2,24,9,8,3,2,1,6,8,3,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,1,0,1,1,10,2,1,6,2,2,3,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,0,0,3,2,2,0,0,1,0,3,2,0,0,0,0,0,0,7,5
11 - Πέλλας,9 E.T. Δήμου Αλμωπίας,484,354,4,4,8,346,125,79,12,33,6,22,46,53,6,2,1,19,7,35,49,32,6,6,15,11,1,14,2,7,4,3,1,3,29,14,7,3,0,3,6,7,1,4,0,0,0,2,5,3,0,0,0,0,0,1,1,1,0,0,3,2,0,0,0,0,0,36,4,13,23,2,10,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,5,0,4,0,1,0,1,0,1,0,0,1,1,2,1,0,0,3,2,1,0,8,2
11 - Πέλλας,10 E.T. Δήμου Αλμωπίας,592,336,17,0,17,319,139,65,16,69,6,24,55,44,1,3,2,17,4,29,59,32,10,4,23,13,9,15,0,5,3,2,0,1,22,6,1,4,3,0,6,4,1,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,4,1,0,1,0,0,0,2,2,2,2,0,0,15,12
11 - Πέλλας,11 E.T. Δήμου Αλμωπίας,540,242,2,0,2,240,97,58,29,16,9,17,34,32,5,1,1,15,5,17,39,9,2,1,22,21,2,13,0,10,1,7,2,0,19,11,6,0,0,5,7,3,1,1,0,1,2,0,2,2,0,0,0,0,0,3,3,3,0,0,3,2,2,0,0,1,1,11,4,1,10,2,1,1,0,0,2,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,1,0,0,0,0,1,1,6,3
11 - Πέλλας,12 E.T. Δήμου Αλμωπίας,535,300,3,0,3,297,154,69,36,36,17,34,53,40,10,1,1,14,11,21,48,1,3,2,23,36,6,9,1,6,0,5,0,0,11,6,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,1,3,11,2,2,5,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,9
11 - Πέλλας,13 E.T. Δήμου Αλμωπίας,523,292,2,2,4,288,141,72,42,26,14,23,51,32,0,0,2,21,2,19,57,3,2,1,43,34,5,5,0,2,1,0,1,0,15,5,5,2,1,1,2,3,1,2,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,8,1,2,6,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,5,2,0,0,6,3
11 - Πέλλας,14 E.T. Δήμου Αλμωπίας,448,286,2,0,2,284,118,58,14,23,8,25,63,40,0,0,0,29,5,23,24,5,5,3,9,1,0,7,1,4,1,0,1,1,27,12,10,7,1,5,4,6,1,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,4,1,42,5,7,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,2,0,0,2,2,0,0,0,1,1,2,2,0,0,0,0,0,0,3,3
11 - Πέλλας,15 E.T. Δήμου Αλμωπίας,436,304,4,0,4,300,169,100,14,44,3,40,64,44,1,2,0,27,2,28,16,5,1,5,3,6,1,11,3,5,1,1,1,1,11,2,1,5,1,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,32,1,0,30,0,6,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2
11 - Πέλλας,16 E.T. Δήμου Αλμωπίας,488,271,6,1,7,264,112,59,22,24,9,40,31,44,2,1,0,34,3,14,40,18,7,10,16,3,1,2,0,2,1,0,0,0,29,11,9,6,2,1,7,2,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,18,0,4,16,0,3,0,0,0,0,0,0,0,0,0,0,4,2,1,0,2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,3
11 - Πέλλας,17 E.T. Δήμου Αλμωπίας,671,497,5,2,7,490,218,96,22,44,12,50,108,64,4,2,0,19,1,46,74,27,17,9,19,32,2,4,0,1,0,0,0,1,30,6,4,2,2,0,5,8,0,3,0,0,1,0,7,3,0,0,0,1,0,3,1,0,0,0,5,0,4,1,3,0,2,18,3,6,5,0,1,1,1,0,1,0,1,0,0,2,2,27,3,2,0,1,26,3,0,0,1,1,0,1,0,0,2,0,3,2,0,0,0,0,0,0,0,0,13,6
11 - Πέλλας,18 E.T. Δήμου Αλμωπίας,363,203,3,0,3,200,55,16,7,11,3,15,25,46,4,4,0,30,2,32,46,27,4,10,17,14,5,17,1,15,0,3,6,1,11,3,1,3,5,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,6,0,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,7,4
11 - Πέλλας,19 E.T. Δήμου Αλμωπίας,382,225,4,0,4,221,74,41,10,12,1,20,38,56,2,0,1,32,0,37,42,24,3,6,17,13,3,16,0,15,1,1,1,4,11,3,3,2,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,1,0,1,0,0,0,3,2,0,0,0,2,2,0,0,1,0,0,0,0,0,3,2
11 - Πέλλας,20 E.T. Δήμου Αλμωπίας,370,288,5,2,7,281,106,64,11,28,10,19,32,89,13,1,0,21,0,82,40,15,5,8,17,12,1,3,0,1,0,0,0,0,16,5,5,5,1,0,1,1,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,2,4,6,1,4,2,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3
11 - Πέλλας,21 E.T. Δήμου Αλμωπίας,371,294,6,0,6,288,122,69,11,21,5,18,63,68,7,0,3,20,0,60,45,14,5,5,15,20,2,7,2,1,0,1,0,0,16,4,5,3,5,0,5,2,0,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,5,2,1,2,0,1,1,2,2,2,1,1,0,0,2,2,1,0,0,0,0,0,7,6
11 - Πέλλας,22 E.T. Δήμου Αλμωπίας,394,282,3,3,6,276,92,50,5,24,2,13,41,78,3,1,6,26,0,67,42,18,9,4,14,20,2,2,1,0,0,0,0,1,23,5,4,5,1,1,8,4,0,2,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,10,5,2,1,0,2,2,0,0,0,0,0,0,0,1,1,5,3,1,0,1,5,0,0,0,0,0,0,2,1,1,2,2,2,2,2,2,0,0,0,0,0,0,5,3
11 - Πέλλας,23 E.T. Δήμου Αλμωπίας,486,303,11,2,13,290,134,47,14,37,11,46,61,63,15,3,1,32,1,43,33,14,3,3,18,8,2,6,1,6,1,0,0,1,18,6,7,9,0,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,3,10,3,2,5,1,2,3,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,4,2,2,0,0,0,2,0,1,0,0,0,0,5,3,1,1,0,0,0,0,4,4
11 - Πέλλας,24 E.T. Δήμου Αλμωπίας,675,417,9,2,11,406,194,117,15,34,5,120,40,64,7,2,0,39,8,39,45,22,9,11,13,11,0,7,0,5,0,2,2,2,23,13,11,5,3,2,2,10,4,2,1,2,2,1,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,8,4,12,4,8,4,0,0,1,1,1,0,0,0,0,3,0,1,1,0,3,0,0,0,0,0,0,6,2,0,0,0,4,1,5,4,1,0,0,0,1,1,12,8
11 - Πέλλας,25 E.T. Δήμου Αλμωπίας,437,298,9,0,9,289,90,47,6,6,4,20,48,47,2,2,2,32,3,24,60,33,4,2,20,15,3,22,6,9,1,4,1,5,21,6,6,7,0,1,2,1,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,1,16,4,2,5,4,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,9,5,3,1,0,3,2,1,0,0,0,1,1,2,2,6,5
11 - Πέλλας,26 E.T. Δήμου Αλμωπίας,463,277,3,1,4,273,95,50,10,14,6,18,28,52,4,1,2,32,4,29,48,27,1,3,25,10,2,10,2,6,0,1,3,1,18,6,5,2,1,1,3,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,14,4,1,8,2,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,2,2,8,5,7,0,0,6,4,2,2,1,1,0,0,1,0,6,3
11 - Πέλλας,27 E.T. Δήμου Αλμωπίας,619,483,7,1,8,475,204,90,53,131,2,21,36,119,9,6,3,31,4,107,37,10,0,2,10,27,0,19,0,9,1,0,4,3,26,11,10,2,2,0,7,8,1,2,0,3,2,0,8,6,0,0,0,0,0,3,1,1,0,0,2,1,1,0,0,0,0,21,0,6,5,3,2,1,4,3,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,1,0,3,1,2,0,0,3,2,5,0,3,1,0,0,0,0,5,3
11 - Πέλλας,28 E.T. Δήμου Αλμωπίας,615,368,6,0,6,362,149,66,15,52,5,35,58,79,14,3,2,38,13,44,27,15,5,1,5,6,1,28,2,18,6,4,4,3,26,15,7,8,2,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,7,7,15,6,8,1,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,1,0,0,0,2,1,0,1,1,1,1,2,1,1,1,0,0,0,0,12,9
11 - Πέλλας,29 E.T. Δήμου Αλμωπίας,393,236,4,1,5,231,138,80,15,56,9,39,37,28,4,1,3,7,0,20,30,14,1,8,9,14,1,6,2,2,3,0,1,0,13,4,2,2,2,2,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,1,1,0,0,5,3
11 - Πέλλας,30 E.T. Δήμου Αλμωπίας,387,219,1,1,2,217,87,56,5,28,8,26,16,34,3,0,1,22,5,22,43,19,3,1,29,18,2,5,1,0,2,1,0,3,18,9,3,2,4,0,10,3,1,2,1,0,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,7,0,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,0,0,0,0,3,1,2,1,1,1,0,0,5,4
11 - Πέλλας,31 E.T. Δήμου Αλμωπίας,385,247,2,0,2,245,140,78,18,44,6,41,40,27,0,0,0,13,3,14,28,12,3,2,3,15,1,5,0,3,2,1,0,2,20,8,6,4,3,0,7,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0,0,0,7,6
11 - Πέλλας,32 E.T. Δήμου Αλμωπίας,449,331,5,2,7,324,187,61,46,44,16,42,86,52,1,0,0,25,0,52,14,5,0,4,3,5,0,6,1,1,0,0,0,0,21,3,4,5,4,0,2,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,2,13,2,5,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,3,3,0,1,0,1,1,0,0,0,2,1,0,0,2,2,0,0,2,1,0,0,4,4
11 - Πέλλας,33 E.T. Δήμου Αλμωπίας,458,332,3,1,4,328,201,90,23,40,28,56,86,42,0,3,1,13,4,38,25,9,2,4,6,10,0,3,1,2,0,2,0,1,21,7,5,8,1,0,6,1,0,1,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,1,13,3,2,6,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,2,1,0,0,3,1,0,0,0,0,4,2
11 - Πέλλας,34 E.T. Δήμου Αλμωπίας,426,312,4,3,7,305,178,72,26,44,17,54,77,35,2,0,1,7,1,28,34,12,2,8,7,13,0,5,0,4,0,1,0,0,18,0,5,3,5,1,7,3,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,10,1,2,5,0,4,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,2,1,1,0,0,1,0,6,6,3,1,1,0,0,0,3,2
11 - Πέλλας,35 E.T. Δήμου Αλμωπίας,448,322,9,1,10,312,183,88,23,39,11,51,87,29,4,0,1,13,2,23,25,13,1,2,6,4,1,5,2,2,1,1,0,1,22,3,10,10,3,0,5,2,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,3,2,2,1,0,1,0,18,7,3,10,0,3,4,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,1,0,0,0,0,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,7,4
