ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΜΕΤ ΟΓΛΟΥ ΧΟΥΜΕΪΡΑ του Φεχμή,ΝΤΕΛΗ ΓΙΟΥΣΟΥΦ του Χουσεΐν,ΣΑΛΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΤΣΙΑΚΙΡΟΓΛΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Σωτηρίου,ΤΣΙΛΙΓΓΙΡΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΑΝΝΑΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αλέξανδρου,ΖΕΪΜΠΕΚ ΧΟΥΣΕΪΝ του Χασάν,ΚΥΝΗΓΟΠΟΥΛΟΥ ΑΘΗΝΑ του Απόστολου,ΣΤΟΓΙΑΝΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Κωνσταντίνου,ΤΖΑΜΠΑΖΗ ΜΑΡΙΑ του Ηλία,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΟΥΡΒΟΥΚΕΛΗΣ ΟΔΥΣΣΕΑΣ του Νικολάου,ΚΑΡΑΛΙΔΗΣ ΦΩΤΙΟΣ του Γεωργίου,ΜΠΑΡΑΝ ΜΠΟΥΡΧΑΝ του Νετζαντή,ΝΤΕΛΗ ΙΜΠΡΑΗΜ ΜΠΕΡΗΜ του Χαμδή,ΠΑΡΧΑΡΙΔΟΥ (ΚΟΥΤΣΟΥΜΠΑ) ΕΡΣΑΪΑ (ΕΡΣΗ) του Παύλου,Κ.Κ.Ε.,ΒΑΚΙΡΤΖΗΣ ΕΥΑΓΓΕΛΟΣ (ΜΠΑΚΕΡΟ) του Χρήστου,ΜΑΞΟΥΜ ΜΠΙΡΓΚΙΟΥΛ του Ισμέτ,ΜΑΧΑΙΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Βίκτορα,ΡΟΪΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Ιωάννη,ΦΩΤΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Πολύκαρπου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΣΤΗ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΚΟΥΤΕΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΜΥΛΩΝΑΣ ΓΕΩΡΓΙΟΣ του Ανέστη,ΠΑΥΛΙΔΟΥ ΕΥΔΟΚΙΑ του Αποστόλου,ΤΡΑΜΠΑ ΤΖΕΜΑΛΗ του Σαμπρή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΟΣΜΙΔΗΣ ΝΙΚΟΣ του Αντωνίου,ΜΟΥΣΑ ΓΚΙΟΚΜΕΝ του Τζεμήλ,ΠΑΠΑΔΟΥΔΗΣ ΑΝΤΩΝΙΟΣ του Χριστόφορου,ΠΑΣΣΑ-ΖΟΥΝΧΙΑ ΑΝΝΟΥΛΑ (ΑΝΝΑ) του Ιωάννη,ΤΣΑΜΠΑΖΗ ΖΑΦΕΙΡΩ (ΗΡΩ) του Ιωάννη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΡΑΝΙΤΗΣ ΙΩΑΝΝΗΣ του Δημοσθένη,Κ.Κ.Ε. (μ-λ),ΑΣΒΕΣΤΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,ΜΑΡΚΟΓΛΟΥ ΙΩΑΝΝΑ του Μιττάκου,ΝΟΥΡΗ ΟΓΛΟΥ ΝΤΑΜΛΑ του Γιουξέλ,ΧΑΤΖΗΣΑΒΒΑΣ ΣΤΕΦΑΝΟΣ του Αποστόλου,Ο.Κ.Δ.Ε.,ΝΤΟΥΡΟΥ ΕΛΕΥΘΕΡΙΑ του Θωμά,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΕΞΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Ευαγγέλου,ΠΡΟΔΡΟΜΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΑΡΙΔΑΚΗΣ ΜΑΤΘΑΙΟΣ του Τζαννή,Κίνημα 21,ΜΠΕΧΛΗ ΜΑΙΡΗ του Αθανασίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΝΑ ΖΩΗ του Γεωργίου,ΞΗΡΟΜΕΡΙΤΗ ΜΑΡΙΑ του Ιωάννη,ΝΙΚΗ,ΓΕΩΡΓΙΑΔΗΣ ΔΗΜΟΣΘΕΝΗΣ του Δημητρίου,ΠΑΠΑΧΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Σεβαστού,ΦΡΑΓΚΟΥ ΔΕΣΠΟΙΝΑ του Γεωργίου,κοινωνία αξιών,ΒΑΛΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημοσθένους,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΑΥΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΣΑΧΙΝΙΔΗΣ ΑΝΕΣΤΗΣ του Παναγιώτη,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΝΝΑ του Παναγιώτη,Ελλήνων Συνέλευσις,ΣΙΜΙΤΑΣ ΑΔΑΜΑΝΤΙΟΣ του Χρήστου,ΤΟΤΙΕΦ ΕΙΡΗΝΗ του Σέργιου,ΧΑΣΑΠΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,Ένωση Κεντρώων,ΑΧΜΕΤ ΕΡΓΗΝ του Αλή,ΚΑΤΣΑΝΟΥ ΕΛΕΥΘΕΡΙΑ του Χαρίλαου,ΛΥΣΙΜΑΧΟΥ - ΜΕΝΤΕΣΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Θεοδώρου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΜΠΑΛΤΑΤΖΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΟΤΣΙΚΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΟΤΑΜΠΑΣΙΔΟΥ ΔΙΑΜΑΝΤΟΥΛΑ του Αθανασίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΤΣΙΒΙΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΣΟΡΜΠΑΤΖΟΓΛΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΣΧΟΥ ΑΝΝΑ του Παναγιώτη,Οικολόγοι Πράσινοι,ΜΠΑΚΑΣ ΦΩΤΙΟΣ του Αθανασίου,ΕΑΝ...,ΛΑΜΨΙΔΗΣ ΓΑΒΡΙΗΛ του Θεοκλήτου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΚΛΗΝΟΣ ΙΩΑΝΝΗΣ του Ρίζου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΥΡΕΝΤΙΑΔΗΣ ΓΙΑΝΝΗΣ του Πέτρου
3 - Ξάνθης,1 E.T. Δήμου Αβδήρων,532,300,10,1,11,289,115,1,3,26,25,55,31,13,9,2,3,2,77,42,17,0,0,17,8,4,0,1,1,1,17,3,7,3,1,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,4,4,3,1,1,0,18,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,3,2,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1
3 - Ξάνθης,2 E.T. Δήμου Αβδήρων,522,262,7,2,9,253,121,1,4,26,25,62,38,15,1,2,6,7,46,24,9,3,0,9,4,0,0,0,1,1,12,2,1,3,2,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,2,1,0,0,3,2,2,0,2,1,0,0,6,2
3 - Ξάνθης,3 E.T. Δήμου Αβδήρων,537,260,1,0,1,259,103,0,0,25,17,53,40,20,4,2,1,5,48,18,20,1,0,5,4,1,0,0,1,1,13,0,3,7,1,1,8,1,0,6,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,4,1,2,0,7,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,4,3,5,5,0,0,1,1,1,1,2,1,2,1,2,2,1,0,6,4
3 - Ξάνθης,4 E.T. Δήμου Αβδήρων,528,274,2,1,3,271,138,0,2,27,22,83,32,21,1,5,0,1,43,27,2,2,0,11,5,2,0,0,0,1,9,0,2,4,0,1,7,1,0,2,1,2,1,1,0,0,0,0,0,0,0,2,1,0,0,2,1,2,0,2,0,8,5,0,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,5,0,0,1,1,0,0,0,0,3,2,1,1,0,0,6,4
3 - Ξάνθης,5 E.T. Δήμου Αβδήρων,279,133,4,0,4,129,76,1,1,10,13,46,11,5,3,0,2,0,5,2,0,0,0,1,6,0,0,1,3,1,9,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,3,3
3 - Ξάνθης,6 E.T. Δήμου Αβδήρων,477,234,5,2,7,227,92,2,0,19,19,47,27,16,0,0,1,8,36,6,19,0,0,7,6,2,0,2,0,0,11,4,2,4,1,0,9,1,0,3,1,1,1,1,1,0,1,0,0,0,0,2,1,0,0,0,0,4,2,2,0,15,10,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,3,1,0,0,1,1,0,0,1,1,2,0,11,6
3 - Ξάνθης,7 E.T. Δήμου Αβδήρων,477,267,12,2,14,253,109,1,1,16,32,54,33,19,0,2,5,3,35,9,13,0,0,8,9,2,0,0,5,1,19,5,2,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,21,17,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,3,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,8,5
3 - Ξάνθης,8 E.T. Δήμου Αβδήρων,373,214,2,2,4,210,92,0,0,20,11,55,16,10,0,0,0,1,70,1,65,0,0,2,6,2,0,3,1,0,4,0,1,2,0,0,3,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,5,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,2,1
3 - Ξάνθης,9 E.T. Δήμου Αβδήρων,357,228,6,1,7,221,113,1,0,24,14,69,18,11,0,0,4,2,41,4,34,0,0,2,3,0,0,2,1,0,8,1,2,2,0,0,6,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,1,1,2,0,0,0,0,0,1,0,0,0,2,1,8,6
3 - Ξάνθης,10 E.T. Δήμου Αβδήρων,384,243,7,2,9,234,116,1,0,21,36,54,28,16,0,5,2,5,34,7,15,5,1,2,7,1,0,1,3,1,11,1,2,1,0,1,2,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,4,4,2,2,2,2,0,0,2,2,1,1,3,1
3 - Ξάνθης,11 E.T. Δήμου Αβδήρων,377,239,3,2,5,234,136,1,0,15,28,81,39,23,1,1,4,8,16,3,5,0,0,6,5,0,0,1,2,0,17,3,2,3,0,0,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0
3 - Ξάνθης,12 E.T. Δήμου Αβδήρων,216,138,0,1,1,137,71,0,0,14,20,33,9,1,0,0,3,4,19,2,9,1,0,6,0,0,0,0,0,0,15,2,4,2,2,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,12,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3 - Ξάνθης,13 E.T. Δήμου Αβδήρων,382,249,3,2,5,244,103,0,0,34,8,54,29,15,0,0,1,8,52,5,27,0,0,14,11,0,1,1,1,5,9,2,1,3,1,0,4,3,0,1,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,6,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1,11,5
3 - Ξάνθης,14 E.T. Δήμου Αβδήρων,560,204,3,0,3,201,97,0,17,6,19,49,49,10,11,18,1,0,28,1,12,5,0,5,3,1,0,2,0,0,4,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,2,2,2,0,0,1,1,0,0,1,1,1,1
3 - Ξάνθης,15 E.T. Δήμου Αβδήρων,563,252,6,2,8,244,67,1,7,13,16,30,62,16,12,32,1,0,39,9,20,3,0,6,29,1,0,27,1,0,16,5,4,4,1,1,2,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,1,8,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,0,0,2,1,0,0,1,1,2,2,3,3,0,0,1,0,1,0,3,2
3 - Ξάνθης,16 E.T. Δήμου Αβδήρων,568,195,4,1,5,190,67,3,8,9,12,29,51,12,11,18,3,2,30,5,10,13,0,2,17,0,2,11,3,0,3,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,2
3 - Ξάνθης,17 E.T. Δήμου Αβδήρων,547,230,10,0,10,220,71,0,2,10,26,30,50,12,19,15,1,1,29,7,9,8,1,4,21,2,0,18,0,1,13,1,1,4,1,3,4,0,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,15,10,2,2,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,1
3 - Ξάνθης,18 E.T. Δήμου Αβδήρων,573,223,4,1,5,218,89,2,8,9,18,49,51,12,15,11,2,2,29,4,6,8,2,7,19,0,2,14,0,0,13,3,3,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,3
3 - Ξάνθης,19 E.T. Δήμου Αβδήρων,558,173,7,0,7,166,72,0,9,13,6,39,44,6,24,12,1,0,22,4,6,9,0,2,5,0,0,4,1,0,4,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3 - Ξάνθης,20 E.T. Δήμου Αβδήρων,555,293,12,0,12,281,150,1,7,11,40,89,53,21,17,5,3,6,31,5,7,9,4,2,4,0,0,1,2,0,8,1,3,1,1,0,1,0,0,0,1,0,1,1,2,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,6,6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,7,5,0,0,1,1,0,0,4,2,5,2
3 - Ξάνθης,21 E.T. Δήμου Αβδήρων,546,239,5,2,7,232,124,1,8,13,19,75,49,14,23,0,3,5,26,5,3,14,3,1,4,0,0,0,1,1,12,0,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2
3 - Ξάνθης,22 E.T. Δήμου Αβδήρων,480,222,3,1,4,218,98,1,0,17,17,60,24,10,10,1,0,2,21,1,4,0,2,14,14,3,0,2,3,2,16,2,6,4,3,0,6,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,3,1,1,0,10,6,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,0,0,3,3,0,0,1,0,3,2,1,1,0,0,6,3
3 - Ξάνθης,23 E.T. Δήμου Αβδήρων,487,255,3,0,3,252,138,0,2,28,27,77,18,9,3,0,2,4,27,3,3,0,1,20,6,2,0,1,2,0,18,1,3,9,0,0,4,2,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,8,6,2,1,1,0,7,4,0,2,1,0,2,1,1,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,5,4,1,1,0,0,7,7
3 - Ξάνθης,24 E.T. Δήμου Αβδήρων,469,202,6,0,6,196,88,1,3,14,21,47,30,11,5,2,3,8,20,3,7,1,0,8,6,2,0,1,0,0,15,2,3,7,1,0,3,1,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,5,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,5,3,1,1,1,1,3,2,1,1,1,0,0,0,0,0,9,7
3 - Ξάνθης,25 E.T. Δήμου Αβδήρων,367,209,2,0,2,207,85,0,1,21,25,37,37,26,0,6,1,4,25,3,7,0,0,15,2,1,0,0,1,0,37,4,6,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,2,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,3,3,0,0,2,2,0,0,1,0,0,0,1,1,0,0,0,0,3,3
3 - Ξάνθης,26 E.T. Δήμου Αβδήρων,333,166,3,0,3,163,50,0,0,12,17,18,27,13,2,0,2,3,29,0,5,3,0,17,6,1,2,0,1,1,15,1,1,8,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,4,1,3,0,7,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,3,2,1,1,2,1,1,1,2,1,0,0,5,2
3 - Ξάνθης,27 E.T. Δήμου Αβδήρων,321,191,4,0,4,187,56,0,0,14,19,15,26,13,1,1,3,1,30,0,3,1,0,26,10,3,0,0,1,1,21,1,2,10,7,0,4,1,0,2,0,1,3,1,3,0,1,0,1,0,0,1,0,0,0,3,3,3,0,3,0,7,7,0,0,0,0,3,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,1,1,9,6
3 - Ξάνθης,28 E.T. Δήμου Αβδήρων,389,220,5,4,9,211,41,6,13,0,7,13,120,4,94,0,3,3,36,1,3,31,1,0,4,0,2,0,0,0,5,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,29 E.T. Δήμου Αβδήρων,370,150,7,1,8,142,36,7,8,2,4,9,68,9,51,2,3,1,34,0,0,29,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3 - Ξάνθης,30 E.T. Δήμου Αβδήρων,329,183,5,0,5,178,57,0,9,4,21,18,48,13,30,0,0,2,33,2,3,16,3,9,12,1,0,2,0,4,7,1,0,5,1,0,2,0,0,2,0,0,2,2,2,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,2
3 - Ξάνθης,31 E.T. Δήμου Αβδήρων,315,157,2,0,2,155,67,1,19,2,18,25,50,11,37,0,0,0,15,2,0,3,8,2,6,1,1,1,0,1,3,0,0,1,1,0,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,32 E.T. Δήμου Αβδήρων,489,291,6,3,9,282,105,0,0,18,20,57,35,18,0,1,5,7,27,5,1,0,0,18,24,6,0,9,4,4,16,2,3,5,1,0,3,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,3,1,8,2,2,0,14,12,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,2,0,0,8,4,1,1,4,1,4,3,0,0,10,9,3,2,0,0,7,3
3 - Ξάνθης,33 E.T. Δήμου Αβδήρων,494,283,9,0,9,274,102,0,1,25,26,42,32,17,1,1,8,2,37,2,9,2,0,21,18,3,0,4,5,4,26,1,4,10,5,1,7,2,0,0,2,2,6,6,1,0,0,0,0,0,0,2,2,0,0,1,1,3,2,1,0,8,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,8,3,0,0,2,1,1,1,1,0,3,2,1,1,1,1,12,7
3 - Ξάνθης,34 E.T. Δήμου Αβδήρων,344,171,9,0,9,162,70,2,15,9,5,37,38,2,26,0,5,3,33,1,3,8,3,18,8,0,0,5,1,1,2,0,0,1,0,0,2,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,35 E.T. Δήμου Αβδήρων,342,159,5,0,5,154,56,2,7,11,10,25,42,7,28,0,2,4,28,0,4,5,10,9,3,1,1,0,0,1,12,4,0,5,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,2,0
3 - Ξάνθης,36 E.T. Δήμου Αβδήρων,429,201,2,1,3,198,94,2,2,20,18,50,35,8,6,1,7,2,38,8,17,2,0,6,0,0,0,0,0,0,8,2,0,1,2,0,2,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
3 - Ξάνθης,37 E.T. Δήμου Αβδήρων,411,199,4,0,4,195,96,4,2,10,12,58,39,24,1,1,8,3,27,5,18,0,0,3,9,0,0,1,1,2,9,1,0,3,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1
3 - Ξάνθης,38 E.T. Δήμου Αβδήρων,496,268,7,2,9,259,112,0,0,18,37,51,38,12,1,0,21,2,54,7,34,0,1,11,3,1,0,1,0,1,15,4,5,5,0,0,2,0,0,0,0,1,6,6,0,0,0,0,0,0,0,1,0,0,1,5,5,1,1,0,0,9,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,1,1,0,0,0,0,2,2,1,1,0,0,6,6
3 - Ξάνθης,39 E.T. Δήμου Αβδήρων,422,235,4,1,5,230,106,0,3,6,32,61,37,22,0,1,2,8,23,4,4,1,2,11,3,2,0,0,1,0,25,1,6,14,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,10,8,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6,6,0,0,1,0,0,0,0,0,1,1,2,1,0,0,8,5
3 - Ξάνθης,40 E.T. Δήμου Αβδήρων,406,220,8,2,10,210,82,0,1,9,15,56,35,24,2,1,5,2,19,2,7,0,0,9,7,3,0,1,0,0,32,2,8,9,7,0,6,3,0,1,0,1,0,0,5,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,12,7,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1
3 - Ξάνθης,41 E.T. Δήμου Αβδήρων,315,166,8,4,12,154,46,2,7,0,0,36,74,7,61,0,0,3,21,0,0,19,1,1,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,2,0
