ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΟΥΛΚΟΥΔΙΝΑΣ ΣΠΥΡΙΔΩΝ του Ευριπίδη,ΜΑΝΗ-ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΝΝΑ του Ευαγγέλου,ΜΠΑΡΑΛΙΑΚΟΣ ΞΕΝΟΦΩΝ (ΦΩΝΤΑΣ) του Ελευθερίου,ΜΠΕΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΝΑΒΡΟΖΙΔΟΥ ΠΑΡΘΕΝΑ (ΝΟΠΗ) του Παναγιώτη,ΧΙΟΝΙΔΗΣ ΣΑΒΒΑΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΚΟΥΝΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Σωτηρίου,ΖΑΝΝΑΣ ΖΗΣΗΣ του Γρηγορίου,ΖΑΡΩΤΗΣ ΔΙΟΝΥΣΙΟΣ του Χρήστου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΣΚΟΥΦΑ ΕΛΙΣΣΑΒΕΤ (ΜΠΕΤΤΥ) του Δημητρίου,ΧΑΪΛΑΤΖΙΔΟΥ ΘΕΟΔΟΣΙΑ (ΓΝΩΣΟΥΛΑ) του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΟΥΛΗ ΕΛΕΝΗ του Κωνσταντίνου,ΘΕΟΧΑΡΟΠΟΥΛΟΥ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Θωμά,ΚΟΥΤΡΟΥΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΜΑΛΤΖΑΡΗΣ ΙΩΑΝΝΗΣ του Αθανάσιου,ΜΙΧΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΓΟΥΡΑΣ ΑΝΔΡΕΑΣ του Νικήτα,Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΣ ΑΧΙΛΛΕΑΣ του Αθανασίου,ΚΟΥΛΑΟΥΖΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ορέστη,ΝΙΚΟΛΑΟΥ ΣΤΕΛΛΑ του Αντωνίου,ΝΤΟΤΣΙΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ανδρέα,ΠΑΠΑΓΕΩΡΓΙΟΥ ΑΡΧΟΝΤΙΑ του Ηλία,ΤΗΛΕΓΡΑΦΟΥ ΑΝΑΣΤΑΣΙΑ του Παντελή,Ελληνική Λύση - Κ. Βελόπουλος,ΖΕΪΜΠΕΚΗΣ ΝΙΚΟΛΑΟΣ του Κυριάκου,ΖΕΡΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΚΑΛΑΪΤΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιορδάνη,ΚΑΡΑΦΟΥΛΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΝΙΚΟΛΑΪΔΟΥ ΜΑΡΙΑ του Φίλιππου,ΤΣΙΟΜΠΑΝΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΑΝΙΚΑΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΠΟΥΖΟΥΚΛΙΔΟΥ ΣΩΤΗΡΙΑ του Αλέξανδρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΧΑΪΔΑΛΗΣ ΘΕΟΛΟΓΟΣ του Κωνσταντίνου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΣΤΙΚΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΜΑΝΙΚΑΣ ΙΩΑΝΝΗΣ του Ηλία,Ο.Κ.Δ.Ε.,ΦΟΥΡΝΟΤΖΗΣ ΑΓΓΕΛΟΣ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΡΑΚΩΣΤΑ ΘΕΟΚΛΕΙΑ του Δημητρίου,ΠΛΙΑΤΣΙΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,Κίνημα 21,ΤΡΑΝΤΗΣ ΑΠΟΣΤΟΛΟΣ του Αριστείδη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗΣ ΑΡΓΥΡΙΟΣ του Μιχαήλ,ΜΠΟΧΤΗ ΕΛΕΝΗ του Κωνσταντίνου,ΝΤΙΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΦΙΛΙΠΠΟΥ ΠΑΝΑΓΙΩΤΑ του Ερμή,ΝΙΚΗ,ΔΕΛΒΕΡΟΥΔΗΣ ΚΟΜΝΗΝΟΣ του Βαγιάνου,ΙΝΤΖΕΣ ΙΩΑΝΝΗΣ του Μόσχου,ΚΑΖΕΠΙΔΟΥ ΕΙΡΗΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΡΑΚΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Ελευθερίου,ΤΣΕΡΤΙΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,κοινωνία αξιών,ΘΗΡΑΙΟΣ ΜΙΧΑΗΛ του Ιακώβου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΝΙΚΗΤΑ ΚΡΥΣΤΑΛΛΕΝΙΑ του Νικολάου,ΧΩΡΙΚΗΣ ΣΤΥΛΙΑΝΟΣ του Θεόδωρου,Ο.Α.Κ.Κ.Ε.,ΚΕΧΑΓΙΑ ΒΑΣΙΛΙΚΗ του Σωτηρίου,Μ-Λ Κ.Κ.Ε.,ΜΑΝΔΕΛΕΝΑΚΗ ΖΩΗ του Ηλία,Ελλήνων Συνέλευσις,ΚΟΥΤΡΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΡΑΧΑΝΑ ΑΝΔΡΟΝΙΚΗ του Δημητρίου,Ένωση Κεντρώων,ΚΑΡΔΑΚΟΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΝΤΖΙΑΛΑ ΧΡΥΣΟΥΛΑ του Γεωργίου,ΠΑΞΙΜΑΔΗΣ ΘΕΟΔΩΡΟΣ του Αντωνίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΕΣΤΟΡΑΣ ΒΑΣΙΛΗΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΒΑΖΑΚΑΣ ΓΕΩΡΓΙΟΣ του Αστερίου,ΓΙΑΛΤΟΥΡΙΔΗΣ ΜΙΧΑΗΛ του Ευσταθίου,ΚΛΕΤΣΑ ΦΩΤΕΙΝΗ του Διονυσίου,ΜΕΝΟΥΝΟΥ ΑΔΑΜΑΝΤΙΑ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ηλία,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΚΡΕΠΕΤΟΥ ΝΙΚΟΛΕΤΤΑ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΥΦΑΝΤΗ ΜΑΡΙΑ του Δημητρίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΡΟΥΝΤΟΣ ΑΝΔΡΕΑΣ του Ιωάννη,Οικολόγοι Πράσινοι,ΣΟΥΡΜΠΑΤΗ ΠΑΡΑΣΚΕΥΗ του Λαζάρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΩΠΑΚΗ ΧΑΡΙΚΛΕΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΝΤΕΚΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Τριαντάφυλλου
13 - Πιερίας,1 E.T. Δήμου Δίου - Ολύμπου,470,289,7,0,7,282,133,43,49,42,34,10,41,40,25,14,1,10,10,6,21,2,0,13,2,10,2,13,3,1,3,0,3,9,22,8,9,0,3,5,1,9,3,6,4,2,2,1,0,0,0,0,2,1,1,3,3,4,3,3,0,0,16,9,4,7,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,10,9
13 - Πιερίας,2 E.T. Δήμου Δίου - Ολύμπου,457,279,2,1,3,276,132,30,57,42,36,9,26,36,14,10,6,2,7,2,30,3,0,19,6,11,5,11,3,1,2,3,2,3,26,13,6,3,4,7,0,8,2,3,4,1,2,1,0,0,0,0,1,0,0,2,0,7,1,5,1,1,8,1,0,1,2,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,2,0,1,1,2,1,0,0,3,2
13 - Πιερίας,3 E.T. Δήμου Δίου - Ολύμπου,447,262,7,2,9,253,101,37,26,26,27,3,27,40,13,8,2,9,11,13,30,5,4,10,6,16,1,13,1,1,4,2,2,5,32,11,12,5,8,10,0,4,1,1,2,1,1,0,0,0,0,0,0,0,0,3,2,3,1,1,0,1,15,4,4,2,2,5,3,0,0,0,0,0,0,0,1,1,2,2,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,0
13 - Πιερίας,4 E.T. Δήμου Δίου - Ολύμπου,460,260,6,0,6,254,98,18,25,41,34,7,33,37,18,6,7,6,11,9,42,1,7,19,8,25,5,15,0,0,3,4,2,6,28,17,8,2,4,10,1,2,0,0,0,1,2,2,0,0,0,0,1,1,1,4,4,2,2,0,0,2,10,3,5,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,3,3,0,0,6,5
13 - Πιερίας,5 E.T. Δήμου Δίου - Ολύμπου,453,258,10,0,10,248,117,32,47,37,33,10,25,43,14,3,5,6,13,8,18,4,2,3,8,10,0,15,2,3,3,1,3,6,26,14,6,3,6,10,1,1,0,0,1,1,1,0,0,0,0,0,2,1,1,0,0,2,1,0,0,1,12,2,4,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,4
13 - Πιερίας,6 E.T. Δήμου Δίου - Ολύμπου,461,271,8,2,10,261,86,31,38,22,26,5,18,50,24,7,5,9,10,12,32,2,0,19,5,13,9,16,2,0,4,1,2,6,23,7,6,3,7,7,2,4,1,2,1,1,0,0,0,0,0,0,2,1,1,3,0,3,0,2,3,0,19,14,8,2,3,3,1,0,0,1,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,1,1,1,0,0,0,0,3,2,1,0,0,0,3,1,0,0,9,9
13 - Πιερίας,7 E.T. Δήμου Δίου - Ολύμπου,417,234,0,1,1,233,101,25,26,28,24,8,33,41,22,8,6,4,6,8,18,3,1,11,3,5,2,12,0,0,3,2,0,4,23,15,4,3,4,7,0,3,2,0,2,1,0,0,1,1,0,0,0,0,0,1,1,4,1,2,0,1,17,8,4,3,1,4,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,0
13 - Πιερίας,8 E.T. Δήμου Δίου - Ολύμπου,449,268,2,2,4,264,104,30,32,37,36,8,28,42,24,11,2,5,10,8,30,6,3,14,7,15,2,16,2,0,3,1,4,7,31,9,8,3,5,7,1,5,3,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,2,1,11,1,5,2,1,1,3,0,0,2,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,2,1,0,1,1,0,0,0,0,2,1,1,1,3,2,0,0,6,4
13 - Πιερίας,9 E.T. Δήμου Δίου - Ολύμπου,405,247,0,0,0,247,65,10,12,31,11,2,14,48,27,3,3,3,25,9,26,3,1,12,7,9,4,56,22,3,3,16,11,20,17,5,7,0,2,2,1,5,2,2,1,1,0,0,1,1,0,0,1,1,1,4,2,0,0,0,0,0,5,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,1,0,1,0,0,2,0,0,0,1,0,1,1,0,0,9,6
13 - Πιερίας,10 E.T. Δήμου Δίου - Ολύμπου,396,233,0,0,0,233,71,14,21,28,14,6,21,49,25,14,2,4,21,5,20,2,0,12,6,10,0,46,15,0,8,22,9,15,13,5,6,2,1,5,0,5,2,2,4,0,1,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,7,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,2,0,0,1,0,1,1,0,0,1,1,4,4,6,4
13 - Πιερίας,11 E.T. Δήμου Δίου - Ολύμπου,386,265,6,0,6,259,83,12,27,48,9,6,38,38,23,14,1,3,19,7,35,4,3,19,13,14,2,55,20,2,5,26,22,16,16,6,3,4,5,3,0,2,0,1,2,1,1,1,0,0,0,0,1,1,0,2,1,2,1,0,2,0,7,2,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,0,2,1,0,0,1,1,0,0,0,0,2,0,0,0,6,3
13 - Πιερίας,12 E.T. Δήμου Δίου - Ολύμπου,488,325,6,1,7,318,108,30,38,39,12,8,32,41,19,10,0,8,23,6,28,10,4,4,4,10,1,49,9,3,14,25,10,12,35,10,9,6,6,5,2,7,1,4,4,0,1,0,0,0,0,0,1,1,0,2,2,3,2,0,0,1,14,0,7,0,6,1,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,6,4,1,3,1,0,0,0,0,3,2,0,0,5,3,2,1,11,7
13 - Πιερίας,13 E.T. Δήμου Δίου - Ολύμπου,490,313,9,2,11,302,100,27,31,43,25,6,24,75,43,18,7,9,30,8,13,3,3,4,1,6,2,30,6,2,8,13,2,6,24,10,8,3,1,6,0,6,2,0,0,0,1,1,1,1,0,0,4,3,3,2,1,2,0,1,0,1,14,6,3,4,3,2,2,0,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,8,3,2,4,1,0,0,1,0,3,3,0,0,2,1,1,1,11,9
13 - Πιερίας,14 E.T. Δήμου Δίου - Ολύμπου,492,314,3,1,4,310,113,30,45,54,17,6,26,46,20,13,4,5,15,4,32,7,3,12,7,20,1,34,11,2,10,16,5,11,31,9,10,6,4,11,1,9,1,4,6,0,0,0,2,0,0,0,1,1,0,2,2,3,2,1,1,1,17,3,4,3,6,3,2,1,1,0,0,0,0,0,0,0,5,5,4,1,1,1,0,1,1,4,2,0,3,2,0,0,2,1,2,1,0,0,1,0,1,1,2,2
13 - Πιερίας,15 E.T. Δήμου Δίου - Ολύμπου,396,253,3,1,4,249,97,20,25,38,13,5,45,25,10,5,1,4,8,2,20,5,2,6,3,5,0,13,4,2,3,0,4,1,36,6,9,1,14,15,3,5,3,1,2,0,3,3,0,0,1,1,0,0,0,2,0,2,0,1,0,0,14,2,2,3,4,2,4,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,2,2,0,3,2,2,1,0,0,0,0,0,2,0,0,0,3,2,2,1,15,9
13 - Πιερίας,16 E.T. Δήμου Δίου - Ολύμπου,377,227,3,0,3,224,113,41,29,53,11,7,30,21,14,3,1,3,6,4,15,1,2,7,1,5,2,12,3,0,6,4,3,2,18,12,3,0,9,2,0,7,2,3,3,0,3,3,0,0,0,0,0,0,0,2,1,2,0,2,1,1,6,3,2,2,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,3,2,2,2,14,10
13 - Πιερίας,17 E.T. Δήμου Δίου - Ολύμπου,379,244,1,1,2,242,94,21,36,25,11,2,34,29,17,8,4,3,5,4,16,4,1,5,3,6,1,16,0,2,2,3,4,1,26,9,4,2,6,11,1,10,4,4,3,0,0,0,0,0,0,0,1,1,1,1,1,6,1,1,1,1,13,1,5,0,5,2,5,2,2,1,1,1,0,0,0,0,4,4,3,0,0,0,0,0,0,9,7,4,2,3,0,0,1,1,0,0,0,0,4,0,2,1,7,4
13 - Πιερίας,18 E.T. Δήμου Δίου - Ολύμπου,527,256,8,1,9,247,106,28,34,35,24,2,34,33,21,3,10,2,8,3,36,7,2,22,6,17,6,13,1,0,6,3,4,2,26,8,5,6,7,11,1,5,1,2,0,1,0,0,1,0,0,0,1,0,1,0,0,2,2,0,0,1,14,4,8,2,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0,3,3
13 - Πιερίας,19 E.T. Δήμου Δίου - Ολύμπου,519,269,5,2,7,262,107,31,38,24,18,8,48,21,12,4,1,1,8,1,39,2,1,24,5,23,3,13,2,1,5,3,2,1,29,13,10,3,5,11,0,2,0,1,1,1,4,3,0,0,0,0,0,0,0,3,3,2,1,1,0,0,22,6,10,2,4,3,6,1,1,0,0,0,1,1,0,0,2,1,2,0,0,0,0,3,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,9,6
13 - Πιερίας,20 E.T. Δήμου Δίου - Ολύμπου,521,298,8,1,9,289,122,31,45,24,32,10,53,75,43,7,8,6,24,12,22,3,0,15,4,5,3,8,2,0,3,3,0,1,21,10,6,2,4,9,2,4,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,6,2,1,2,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,3,3,0,0,1,1,0,0,0,0,10,4
13 - Πιερίας,21 E.T. Δήμου Δίου - Ολύμπου,470,286,3,0,3,283,121,52,63,32,27,7,31,58,22,24,10,4,17,18,41,9,2,30,3,10,8,1,0,0,1,0,1,0,27,8,13,2,1,7,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,18,7,9,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,0,0,1,0,0,3,3,0,0,1,0,2,1,1,1,2,1
13 - Πιερίας,22 E.T. Δήμου Δίου - Ολύμπου,481,295,8,1,9,286,105,22,41,37,32,12,23,53,21,12,5,5,16,19,43,6,2,30,3,16,1,10,1,2,2,0,1,2,28,12,4,3,4,12,0,5,4,1,1,0,1,0,0,0,0,0,1,1,1,0,0,5,4,2,1,2,21,2,9,1,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,0,7,4
13 - Πιερίας,23 E.T. Δήμου Δίου - Ολύμπου,481,296,5,2,7,289,143,59,57,52,44,10,41,26,12,7,1,6,14,10,59,6,1,48,8,19,5,4,3,0,1,0,1,1,17,7,6,0,4,6,0,10,5,4,2,2,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,0,15,3,5,1,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,3,1
13 - Πιερίας,24 E.T. Δήμου Δίου - Ολύμπου,512,308,3,0,3,305,145,49,66,47,43,6,38,47,20,17,10,5,22,7,45,3,0,34,10,13,5,7,2,0,4,0,2,1,16,8,6,2,4,0,1,7,3,5,4,1,0,0,1,1,0,0,1,1,0,0,0,3,1,0,1,0,17,5,3,5,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,10,8
13 - Πιερίας,25 E.T. Δήμου Δίου - Ολύμπου,530,373,3,2,5,368,228,71,81,88,57,7,82,37,13,3,5,1,12,8,49,6,0,41,9,9,5,0,0,0,0,0,0,0,21,6,3,2,0,11,0,2,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0,2,1,1,1,0,17,2,2,2,1,10,8,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,2
13 - Πιερίας,26 E.T. Δήμου Δίου - Ολύμπου,526,365,3,2,5,360,197,53,84,70,53,5,77,49,15,21,6,5,19,10,33,3,0,26,9,9,1,7,2,0,1,0,0,1,12,2,3,0,3,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,6,9,1,17,11,9,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,3,1,2,1,2,1,1,0,0,3,2,0,0,3,2,2,1,4,1
13 - Πιερίας,27 E.T. Δήμου Δίου - Ολύμπου,515,366,13,1,14,352,225,79,95,69,74,7,70,36,18,5,3,3,5,9,38,8,0,28,5,12,7,3,1,0,1,0,0,0,15,4,2,3,0,10,1,4,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,4,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1,1,0,0,3,2,2,2,6,5
13 - Πιερίας,28 E.T. Δήμου Δίου - Ολύμπου,478,345,2,1,3,342,121,40,41,47,31,0,30,71,10,34,5,9,23,21,47,22,0,36,3,11,0,24,8,1,11,5,7,3,22,7,5,2,2,6,1,3,2,1,1,0,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,34,15,14,5,3,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,7,4
13 - Πιερίας,29 E.T. Δήμου Δίου - Ολύμπου,459,323,6,1,7,316,146,55,45,59,50,5,31,38,7,17,0,3,20,8,30,13,0,19,8,6,3,9,1,0,3,0,3,1,32,10,8,4,2,9,0,2,1,0,0,0,3,2,1,1,0,0,1,1,1,1,1,1,0,0,0,0,38,13,12,9,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,3,1,3,1,0,0,2,2,0,0,3,2
13 - Πιερίας,30 E.T. Δήμου Δίου - Ολύμπου,472,312,6,1,7,305,161,72,45,56,44,8,36,34,4,11,9,2,18,13,40,18,1,29,3,5,5,10,4,2,1,3,0,0,20,2,13,2,2,8,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,3,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7,2,5,2,1,0,0,1,1,1,1,0,0,0,0,1,1,4,3
13 - Πιερίας,31 E.T. Δήμου Δίου - Ολύμπου,467,304,8,0,8,296,119,54,34,46,32,4,19,50,20,19,8,2,15,19,52,32,1,37,4,10,6,14,3,2,5,2,2,6,13,5,4,2,2,5,0,2,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,27,11,6,3,6,7,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,0,0,2,0,0,0,3,1,0,0,4,2
13 - Πιερίας,32 E.T. Δήμου Δίου - Ολύμπου,432,293,10,1,11,282,120,46,46,41,31,3,33,42,8,12,3,5,26,18,29,11,2,16,8,5,1,14,2,4,3,5,4,2,26,6,8,4,4,15,1,5,2,2,3,0,4,4,0,0,0,0,2,2,2,0,0,0,0,0,0,0,31,8,14,3,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,2,1,1,1,0,0,2,2,0,0,1,1
13 - Πιερίας,33 E.T. Δήμου Δίου - Ολύμπου,501,374,4,2,6,368,147,42,27,58,61,7,49,26,16,8,2,2,7,3,97,7,2,55,74,15,8,3,1,0,0,0,1,1,11,4,2,3,2,4,1,6,1,2,1,0,5,4,0,0,0,0,0,0,0,0,0,1,0,1,1,0,56,7,43,4,29,6,9,0,0,1,1,0,0,0,0,0,1,1,1,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,6,3
13 - Πιερίας,34 E.T. Δήμου Δίου - Ολύμπου,505,372,3,0,3,369,195,52,55,83,78,5,59,30,9,6,7,2,6,7,54,6,1,34,32,7,4,8,2,0,1,1,0,2,16,6,7,4,1,4,0,6,3,1,0,1,1,1,0,0,0,0,0,0,0,2,2,3,2,3,0,1,41,11,23,3,17,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,2,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,5,3
13 - Πιερίας,35 E.T. Δήμου Δίου - Ολύμπου,500,346,5,3,8,338,144,32,23,70,69,10,53,27,11,5,5,3,6,6,99,3,1,71,62,20,4,4,3,0,0,0,1,0,6,3,1,2,2,2,0,4,1,0,1,0,2,1,0,0,0,0,0,0,0,2,1,1,0,1,0,0,38,22,10,3,6,3,19,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,0,0,4,2
13 - Πιερίας,36 E.T. Δήμου Δίου - Ολύμπου,530,403,2,2,4,399,162,31,34,38,138,5,35,28,5,12,1,2,8,11,158,6,3,151,16,29,5,4,1,1,1,0,0,1,10,2,4,3,0,6,0,5,4,1,3,1,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,1,18,7,4,3,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0,1,1,3,3
13 - Πιερίας,37 E.T. Δήμου Δίου - Ολύμπου,540,409,8,1,9,400,151,32,23,27,123,1,48,42,21,19,3,1,11,13,141,3,2,133,25,22,4,2,0,0,2,0,1,1,19,7,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,16,8,2,3,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,7,1,0,0,4,2,2,0,0,1,0,1,1,2,1,0,0,0,0,0,0,7,7
13 - Πιερίας,38 E.T. Δήμου Δίου - Ολύμπου,536,382,4,3,7,375,211,33,29,53,175,5,45,17,8,13,0,0,6,1,94,1,0,91,17,9,4,7,3,1,2,0,3,0,16,6,5,4,1,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,11,4,0,4,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,7,6
