ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΚΑΝΙΑΤΣΑ ΑΙΜΙΛΙΑ του Παναγιώτη,ΚΑΡΑΓΚΟΥΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΑΣ) του Ανδρέα,ΛΙΒΑΝΟΣ ΣΠΥΡΙΔΩΝ-ΠΑΝΑΓΙΩΤΗΣ (ΣΠΗΛΙΟΣ) του Διονυσίου,ΠΑΠΑΘΑΝΑΣΗΣ ΑΘΑΝΑΣΙΟΣ του Δαμιανού,ΠΑΠΑΛΕΞΗ ΠΑΡΑΣΚΕΥΗ (ΕΥΗ) του Γρηγορίου,ΣΑΚΚΑΡΕΛΗ ΑΝΑΣΤΑΣΙΑ του Παναγιώτη,ΣΑΛΜΑΣ ΜΑΡΙΟΣ του Γεωργίου,ΣΤΑΜΑΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΦΟΥΝΤΖΟΥΛΑ ΧΡΙΣΤΙΝΑ του Παναγιώτη,ΣΥΡΙΖΑ,ΑΘΑΝΑΣΟΥΛΗ ΒΑΣΙΛΙΚΗ (ΣΙΣΣΥ) του Χρήστου,ΒΑΡΕΜΕΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΖΑΜΠΑΡΑΣ ΜΙΛΤΙΑΔΗΣ (ΜΙΛΤΟΣ) του Γεωργίου,ΘΕΟΔΩΡΑΚΗΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΚΑΡΑΓΚΟΥΝΗΣ ΣΤΑΥΡΟΣ του Αθανασίου,ΜΙΧΑΛΑΤΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΜΩΡΑΪΤΗΣ ΑΘΑΝΑΣΙΟΣ (ΘΑΝΟΣ) του Χρήστου,ΠΑΝΤΙΩΡΑ ΦΩΤΕΙΝΗ του Ευαγγέλου,ΤΣΙΜΠΛΗ ΕΙΡΗΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Χρήστου,ΚΑΤΣΑΡΗ ΚΩΝΣΤΑΝΤΟΥΛΑ (ΝΤΙΝΑ) του Θωμά,ΚΥΡΙΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΜΟΥΡΤΖΙΑΠΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,ΜΠΙΣΜΠΙΚΗ - ΚΟΝΙΔΑ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΠΙΣΤΙΟΛΗ ΠΕΡΣΕΦΩΝΗ του Γεωργίου,ΣΤΑΡΑΚΑ ΧΡΙΣΤΙΝΑ του Δημήτριου,ΤΡΥΦΙΑΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημοσθένη,Κ.Κ.Ε.,ΑΡΑΒΑΝΗΣ ΓΕΡΑΣΙΜΟΣ του Ανδρέα,ΚΑΖΑΡΙΔΗ - ΠΑΤΟΥΛΑ ΣΟΦΙΑ του Σωκράτη,ΚΟΤΟΠΟΥΛΗΣ ΣΠΥΡΙΔΩΝ του Ιωάννη,ΚΟΥΤΡΟΥΜΠΑ ΑΘΗΝΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Φωτίου,ΜΠΟΥΡΑ ΧΡΥΣΟΥΛΑ (ΣΟΥΛΑ) του Ευαγγέλου,ΝΙΚΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΠΑΠΑΝΑΣΤΑΣΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΣΙΕΤΤΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΪΔΙΝΗΣ ΖΑΦΕΙΡΗΣ του Ιωάννη,ΓΛΥΚΟΥ ΕΥΓΕΝΙΑ του Ιωάννη,ΚΑΡΑΚΑΤΣΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΚΑΡΑΚΟΥΣΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΟΥΡΚΟΥ ΑΡΧΟΝΤΙΑ του Ιωάννη,ΣΑΛΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Σπυρίδωνος,ΣΟΥΛΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΤΑΡΚΑΖΙΚΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΛΑ- ΛΙΑΚΑΤΑ ΓΕΩΡΓΙΑ του Αυγουστή,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΖΥΓΑ ΕΛΙΑΝΑ του Κωνσταντίνου,ΚΑΡΑΝΗ ΙΩΑΝΝΑ του Σεραφείμ,ΛΟΥΚΑΝΑΡΗΣ ΣΤΕΦΑΝΟΣ του Αθανασίου,ΜΙΖΑΛΟΣ ΒΛΑΣΙΟΣ (ΒΛΑΣΗΣ) του Γεωργίου,ΝΟΥΛΑ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Γεωργίου,ΠΑΛΗΓΕΩΡΓΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΡΑΝΤΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΤΖΑΘΑΣ ΘΩΜΑΣ του Παύλου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΑΠΩΝΗ ΠΑΝΑΓΙΩΤΑ του Σωτηρίου,ΚΟΥΚΟΥΡΗΣ ΕΥΣΤΡΑΤΙΟΣ του Αντωνίου,ΛΑΔΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Αλέξιου,ΛΙΟΤΣΟΥ ΒΑΡΒΑΡΑ του Παναγιώτη,ΜΑΜΑΣΟΥΛΑΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΚΑΠΕΤΑΝΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΚΑΤΣΕΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΚΑΦΑΡΑΚΗ ΕΛΕΥΘΕΡΙΑ του Βασιλείου,Ο.Κ.Δ.Ε.,ΠΑΠΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΖΩΤΗΣ ΝΙΚΟΛΑΟΣ του Θωμά,ΒΑΣΙΛΕΙΟΥ ΣΠΥΡΙΔΩΝ του Γρηγορίου,ΒΡΑΧΑ ΜΑΡΙΑ του Βασιλείου,ΕΥΘΥΜΙΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΚΟΚΚΙΝΟΒΑΣΙΛΗΣ ΠΟΛΥΔΕΥΚΗΣ του Δημητρίου,ΜΠΑΘΑ ΛΕΜΟΝΙΑ του Αθανασίου,ΤΣΩΛΗ ΕΛΕΝΗ ΑΝΝΑ του Νικολάου,Κίνημα 21,ΠΑΠΑΧΡΙΣΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Άγγελου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΠΑΛΑΙΟΔΗΜΟΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΝΙΚΗ,ΑΛΕΞΑΚΗ ΒΑΣΙΛΙΚΗ του Ιωάννου,ΚΑΜΖΕΛΑΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΑΛΕΣΙΑΔΑΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,κοινωνία αξιών,ΠΙΣΤΙΩΛΗ ΠΑΝΑΓΙΩΤΑ του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΑΤΣΑΟΥΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΕΤΑΡΟΥΔΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΠΑΤΡΟΥΛΑ του Ευάγγελου,Ο.Α.Κ.Κ.Ε.,ΠΕΤΡΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Αλεξάνδρου,Μ-Λ Κ.Κ.Ε.,ΖΑΡΑΒΙΝΑΣ ΣΩΚΡΑΤΗΣ του Μιχαήλ,Ελλήνων Συνέλευσις,ΓΙΑΝΝΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΓΡΟΜΗΤΣΑΡΗ ΛΑΜΠΡΙΝΗ του Νικολάου,ΚΑΤΣΟΥΔΑ ΕΥΣΤΑΘΙΑ του Παντελή,ΜΠΙΤΣΙΚΩΚΟΣ ΒΛΑΣΙΟΣ του Δημητρίου,ΣΑΠΑΤΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΣΑΠΑΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΣΑΡΑΚΗΣ ΑΓΓΕΛΟΣ του Σπυρίδων,ΦΟΡΑΔΟΥΛΑ ΙΩΑΝΝΑ του Γεωργίου,Ένωση Κεντρώων,ΜΠΕΜΠΕΛΑ ΒΑΡΒΑΡΑ του Στυλιανού,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΣΚΑΝΔΑΛΟΣ ΓΡΗΓΟΡΙΟΣ του Σωτηρίου,ΤΗΛΕΜΑΧΟΥ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΓΓΕΛΟΠΟΥΛΟΣ ΟΔΥΣΣΕΥΣ του Ηλία,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΛΕΞΑΝΔΡΑΚΗ ΕΙΡΗΝΗ του Αθανασίου,ΒΑΣΣΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΡΑΜΠΕΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαραλάμπους,ΜΠΟΥΤΡΗ ΑΘΗΝΑ του Γεωργίου,ΠΑΠΑΚΩΣΤΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΑΛΑΜΠΑΛΙΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΦΙΛΙΠΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΠΟΔΙΣΤΡΙΑΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΟΥΣΙΑ ΚΩΝΣΤΑΝΤΙΝΑ του Παναγιώτη,ΣΕΡΑΦΗΣ ΑΠΟΣΤΟΛΟΣ του Ευάγγελου,ΤΡΑΣΙΑ ΑΛΕΞΑΝΔΡΑ του Βασιλείου,Οικολόγοι Πράσινοι,ΚΑΠΡΕΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΠΡΕΖΑΣ ΠΑΝΤΕΛΗΣ του Αθανασίου,ΤΣΙΡΙΓΚΑ ΓΡΗΓΟΡΙΑ του Αθανασίου,ΕΑΝ...,ΠΕΡΔΙΚΑΡΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΔΕΡΜΙΤΖΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Μιχαήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΚΑΝΔΑΛΟΥ ΕΛΕΝΗ του Σωτηρίου
30 - Αιτωλοακαρνανίας,1 E.T. Δήμου Αγρινίου,473,271,3,0,3,268,124,4,39,51,38,2,18,51,26,3,66,1,12,44,10,17,7,10,3,1,32,2,7,0,18,1,1,0,16,4,16,4,2,7,1,1,2,1,8,0,3,1,0,0,2,0,2,0,0,0,2,0,1,0,0,2,1,0,0,5,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,3,2
30 - Αιτωλοακαρνανίας,2 E.T. Δήμου Αγρινίου,465,287,8,1,9,278,147,5,41,52,42,6,21,61,41,5,64,2,8,30,11,29,9,6,7,2,28,0,6,3,11,2,1,1,19,11,7,1,1,1,3,0,1,3,1,0,3,1,1,0,0,0,0,1,0,0,4,3,0,1,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,1,2,2,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4
30 - Αιτωλοακαρνανίας,3 E.T. Δήμου Αγρινίου,457,274,2,2,4,270,115,6,35,39,39,6,22,44,28,5,88,4,12,66,18,24,5,10,4,2,31,2,13,3,8,1,4,2,16,4,14,3,1,9,2,0,0,2,9,0,3,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0
30 - Αιτωλοακαρνανίας,4 E.T. Δήμου Αγρινίου,446,294,2,2,4,290,108,3,20,41,35,3,14,51,36,4,102,2,15,77,17,22,5,26,10,6,38,7,12,0,12,0,0,0,27,5,8,1,0,1,3,0,1,2,2,0,6,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,3,1,2,1,0,1,1,1,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,3
30 - Αιτωλοακαρνανίας,5 E.T. Δήμου Αγρινίου,539,339,3,1,4,335,98,3,22,20,41,7,1,40,4,0,105,5,24,35,33,8,0,26,10,9,40,3,18,1,11,1,1,7,18,2,48,7,2,22,3,2,3,9,18,1,13,2,1,0,2,0,0,1,0,0,5,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,2,0,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
30 - Αιτωλοακαρνανίας,6 E.T. Δήμου Αγρινίου,555,344,3,4,7,337,144,2,41,53,49,9,5,70,9,9,77,6,16,26,20,11,2,25,6,1,68,4,28,5,22,1,2,3,33,9,16,2,1,0,3,0,0,3,3,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,1,2,0,0,2,1,3,2,11,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1
30 - Αιτωλοακαρνανίας,7 E.T. Δήμου Αγρινίου,511,350,6,3,9,341,94,4,36,24,20,10,3,40,9,10,103,8,40,28,19,9,1,27,9,12,51,2,26,3,15,0,0,1,19,3,17,6,1,0,2,2,2,2,2,0,22,3,2,1,8,1,3,5,0,3,6,3,1,1,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,3,1,20,7,9,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,3,2,2,2,1,1,0,1,2,1,2,0,1,0,0,0,8,7
30 - Αιτωλοακαρνανίας,8 E.T. Δήμου Αγρινίου,510,359,5,3,8,351,110,3,29,35,26,11,5,43,14,10,94,3,30,36,12,16,4,23,6,6,41,3,16,0,6,1,0,3,24,8,29,6,2,2,4,2,1,5,3,2,9,0,1,1,0,1,2,0,0,0,11,1,1,0,0,1,4,0,0,3,1,1,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,1,18,6,6,9,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,2,1,2,1,1,0,0,0,3,3,0,0,0,0,2,0,1,0,3,3,0,0,12,9
30 - Αιτωλοακαρνανίας,9 E.T. Δήμου Αγρινίου,509,355,9,0,9,346,118,4,35,29,46,11,1,39,13,11,99,4,29,42,17,12,4,20,10,12,32,1,11,0,5,0,0,0,21,7,18,6,2,0,1,3,5,5,4,3,18,4,1,1,4,0,3,2,0,2,12,4,6,2,1,0,2,0,0,6,2,3,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,5,3,10,2,5,5,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,3,2,1,0,0,1,0,1,0,0,1,1,6,3,1,0,1,1,1,1,0,1,1,1,0,0,7,3
30 - Αιτωλοακαρνανίας,10 E.T. Δήμου Αγρινίου,508,355,10,1,11,344,108,4,44,32,29,15,4,26,12,11,99,8,46,43,15,7,1,36,5,9,62,1,27,2,16,2,0,4,33,6,19,4,1,2,2,1,1,7,8,5,4,0,2,0,0,0,1,1,0,1,7,4,0,0,0,1,4,0,0,3,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,2,1,14,4,7,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,1,1,2,1,1,0,0,1,2,2,0,0,3,3,1,0,0,0,1,1,0,0,0,0,3,2,6,3
30 - Αιτωλοακαρνανίας,11 E.T. Δήμου Αγρινίου,494,320,9,1,10,310,84,2,31,21,26,6,7,26,10,12,94,3,33,46,18,8,1,25,3,4,41,2,12,0,6,0,2,6,28,2,19,3,4,1,2,2,1,3,4,2,7,4,3,1,0,0,2,0,0,1,13,6,4,0,2,2,2,1,0,3,0,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,2,2,2,21,8,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0,1,0,0,0,3,3,2,1,6,5
30 - Αιτωλοακαρνανίας,12 E.T. Δήμου Αγρινίου,509,333,7,1,8,325,107,5,35,31,43,17,5,28,4,6,98,4,31,25,10,8,3,24,9,13,24,2,7,0,5,0,1,1,15,2,28,8,0,3,1,2,4,3,9,4,9,1,2,2,2,1,3,1,0,0,6,3,4,0,0,1,2,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,14,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,2,3,3,2,1,0,0,3,3,3,1,1,0,0,0,1,1,0,1,2,2,1,1,10,6
30 - Αιτωλοακαρνανίας,13 E.T. Δήμου Αγρινίου,504,320,2,0,2,318,108,3,52,33,25,17,7,30,16,10,86,5,35,24,15,11,1,17,7,5,43,3,10,1,7,1,2,1,23,7,18,5,0,1,4,3,0,2,7,2,9,3,2,0,3,1,3,1,0,0,6,1,1,0,1,0,1,0,0,2,0,2,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,20,7,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,3,3,1,1,0,0,0,0,5,2,1,0,0,0,0,0,7,4
30 - Αιτωλοακαρνανίας,14 E.T. Δήμου Αγρινίου,500,334,8,1,9,325,100,3,31,34,28,7,6,32,10,5,77,4,27,30,11,8,0,19,6,3,48,0,17,1,8,2,0,2,29,5,21,4,1,1,2,1,3,6,0,0,8,3,0,1,5,0,2,1,0,1,9,4,4,0,0,1,4,0,0,2,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,2,1,2,2,6,5,19,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,3,2,1,1,0,0,3,2,1,0,0,0,0,0,6,1,2,2,0,0,0,0,14,12
30 - Αιτωλοακαρνανίας,15 E.T. Δήμου Αγρινίου,506,331,5,4,9,322,95,3,28,25,23,5,5,32,13,9,75,6,21,31,11,7,2,15,11,8,67,7,25,2,13,3,13,5,36,2,20,5,4,0,3,1,1,7,5,1,9,3,3,2,5,0,1,3,0,0,6,1,3,0,0,0,2,2,0,2,0,2,0,1,1,0,0,0,0,0,0,5,2,0,1,0,0,2,0,0,0,2,2,15,4,5,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3,1,0,1,2,0,0,3,3,0,0,0,0,0,0,5,2,1,0,2,1,0,0,9,6
30 - Αιτωλοακαρνανίας,16 E.T. Δήμου Αγρινίου,517,338,5,2,7,331,104,6,25,35,28,15,4,31,14,12,89,5,34,36,19,15,0,18,6,10,40,1,8,2,6,0,1,2,28,3,31,11,1,4,3,2,5,11,8,3,5,1,0,1,2,0,0,3,0,0,10,2,1,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,2,0,0,0,2,0,0,2,1,2,0,17,5,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,1,1,1,1,1,0,0,5,2,1,0,0,0,1,0,1,1,0,0,0,0,13,10
30 - Αιτωλοακαρνανίας,17 E.T. Δήμου Αγρινίου,496,296,5,1,6,290,95,3,44,24,33,4,4,29,5,15,93,5,32,35,12,4,2,32,8,7,28,1,10,0,12,0,1,2,15,2,27,8,3,0,0,1,2,6,5,0,6,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,2,0,3,0,4,3,3,2,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,1,0,1,1,10,4
30 - Αιτωλοακαρνανίας,18 E.T. Δήμου Αγρινίου,526,294,3,0,3,291,87,2,32,19,30,7,2,26,16,6,128,10,33,40,20,28,11,47,11,6,26,0,3,0,8,1,2,0,20,4,20,2,0,0,3,0,1,6,6,0,5,1,1,1,1,0,1,1,0,0,7,2,2,0,0,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,5,3,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
30 - Αιτωλοακαρνανίας,19 E.T. Δήμου Αγρινίου,528,309,8,2,10,299,84,1,25,26,27,9,3,40,5,5,130,7,26,36,14,33,7,60,7,8,27,3,5,1,5,1,1,2,16,1,25,3,3,3,6,2,1,10,5,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,2,13,2,3,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,5,2
30 - Αιτωλοακαρνανίας,20 E.T. Δήμου Αγρινίου,521,325,2,1,3,322,109,4,32,27,35,8,1,38,12,3,86,14,20,34,18,16,2,25,6,14,37,0,15,2,13,0,2,1,22,8,27,5,0,1,2,1,1,18,15,1,14,1,4,3,2,0,4,1,0,1,4,3,2,1,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,1,14,5,6,7,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,3,1,1,0,0,0,0,0,11,9
30 - Αιτωλοακαρνανίας,21 E.T. Δήμου Αγρινίου,517,314,1,0,1,313,92,2,36,21,24,5,5,37,13,11,87,7,30,43,10,14,3,20,9,2,53,6,18,1,11,0,0,4,28,7,25,5,4,1,5,0,4,13,7,1,10,2,2,2,3,2,4,1,0,1,8,2,4,0,0,3,2,1,0,3,0,3,0,0,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,6,2,4,0,0,1,1,0,0,0,0,0,0,0,3,1,3,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,4,0,1,1,1,1,0,0,7,6
30 - Αιτωλοακαρνανίας,22 E.T. Δήμου Αγρινίου,509,286,10,0,10,276,77,3,27,24,17,10,1,33,6,7,104,12,17,28,7,23,4,34,17,5,24,1,4,0,11,1,0,0,12,10,24,10,6,2,3,1,3,7,7,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,1,1,0,0,7,1,1,2,0,3,3,1,0,0,2,2,8,2,3,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,2,0,3,2,0,0,0,0,0,0,5,0,2,3,2,1,0,0,5,3
