ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΒΛΑΧΟΥ ΑΛΕΞΑΝΔΡΑ του Λεωνίδα,ΔΑΛΙΑΝΗ ΦΩΤΕΙΝΗ του Κωνσταντίνου,ΜΠΕΝΤΕΒΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Κυριάκου,ΣΠΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Ροβέρτου,ΣΥΡΙΖΑ,ΓΙΑΝΝΟΥΛΗ ΑΝΤΩΝΙΑ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Γεωργίου,ΠΑΠΑΗΛΙΟΥ ΓΕΩΡΓΙΟΣ του Ηλία,ΣΤΑΪΚΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΦΙΛΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΙΑΝΝΑΚΟΥΡΑΣ ΕΥΑΓΓΕΛΟΣ (ΒΑΓΓΕΛΗΣ) του Θεοχάρη,ΓΙΑΝΝΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνα,ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ ΟΔΥΣΣΕΑΣ του Κωνσταντίνου,ΛΙΛΗ ΑΙΜΙΛΙΑ του Παναγιώτη,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΑΔΑΜΑΝΤΙΑ (ΔΙΑΜΑΝΤΩ) του Αριστείδη,Κ.Κ.Ε.,ΑΣΗΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΑΡΑΘΑΝΑΣΗ ΔΑΝΑΗ του Παρασκευά,ΚΑΤΣΙΡΟΥΜΠΑΣ ΓΕΩΡΓΙΟΣ του Ευθυμίου,ΠΑΝΟΥΣΗ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΡΟΥΣΑΛΗΣ ΙΩΑΝΝΗΣ του Παναγιώτη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΒΑΝΙΤΙΔΟΥ ΕΙΡΗΝΗ του Μιλτιάδη,ΝΙΚΟΛΑΟΥ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΣΑΡΑΝΤΙΔΗΣ ΕΥΑΓΓΕΛΟΣ του Πέτρου,ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΑ του Χρήστου,ΧΑΣΑΠΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΑΝΔΡΗΣ ΣΑΡΑΝΤΟΣ του Νικολάου,ΓΚΑΡΤΖΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΚΟΠΕΪΤΖ ΓΟΥΕΝΤΙ του Τζορτζ Χένρι,ΠΑΠΑΔΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Βασιλείου,ΧΟΥΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΔΗΜΟΠΟΥΛΟΥ ΝΑΤΑΛΙΑ του Βασιλείου,ΛΟΥΦΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΑΤΡΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΚΑΡΔΑΣΗΣ ΣΩΤΗΡΙΟΣ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΙΩΑΝΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Αναστασίου,ΚΑΣΣΕΛΟΥΡΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Κίνημα 21,ΓΙΑΝΝΟΥΛΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΒΡΑΝΤΙΝΗ ΛΑΣΚΑΡΙΝΑ του Βασιλείου,ΓΑΡΤΑΓΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΣΤΑΘΗΣ ΔΙΟΝΥΣΙΟΣ του Γρηγορίου,ΝΙΚΗ,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Ευαγγέλου,ΜΑΝΤΖΙΩΡΗ ΧΑΙΔΩ του Γεωργίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,κοινωνία αξιών,ΚΑΛΟΓΕΡΟΠΟΥΛΟΥ ΛΑΜΠΡΙΝΗ του Χρήστου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΑΠΑΣΩΤΗΡΙΟΥ ΣΤΥΛΙΑΝΗ του Αλεξίου,Ο.Α.Κ.Κ.Ε.,ΓΚΟΡΟΓΙΑΣ ΤΑΞΙΑΡΧΗΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΑΔΡΙΑΝΟΣ ΙΑΣΩΝ-ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΓΙΑΝΝΑΚΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Μιχαήλ,ΘΕΟΔΟΣΙΟΥ ΑΘΑΝΑΣΙΟΣ του Σωτηρίου,ΚΑΡΑΜΠΗ ΙΩΑΝΝΑ του Δημητρίου,ΤΑΜΠΑΚΗ ΜΑΡΙΝΑ του Δημητρίου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Αναστασίου,ΣΑΚΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΣΩΤΗΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Αγγελή,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΝΤΩΝΙΟΥ ΔΗΜΗΤΡΙΟΣ του Γεώργιου,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΜΠΑΜΠΗΣ του Παναγώτη,ΧΑΤΖΟΥΔΗ ΕΛΕΝΗ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Νικολάου,ΔΡΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Κανέλλου,ΠΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΓΚΑΒΕΤΑΣ ΣΤΑΜΑΤΙΟΣ του Παντελή,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΡΗΓΟΡΙΟΥ ΠΟΛΥΞΕΝΗ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΒΕΛΑΣ ΔΗΜΗΤΡΙΟΣ του Αλεξίου,ΣΠΥΡΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΛΕΙΟΥ ΑΘΑΝΑΣΙΟΣ του Αναστασίου,ΔΗΜΗΤΡΙΟΥ ΑΛΕΞΑΝΔΡΑ του Παναγιώτη,Οικολόγοι Πράσινοι,ΔΡΟΥΖΙΑΣ ΘΕΟΔΩΡΟΣ του Νικολάου,ΚΑΡΒΕΛΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΑΡΑΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΑΔΗΜΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου
45 - Αρκαδίας,1 E.T. Δήμου Βόρειας Κυνουρίας,528,330,11,2,13,317,144,67,1,38,8,8,54,11,3,7,16,2,49,17,3,17,2,2,21,1,3,1,3,2,6,3,0,0,0,1,11,3,1,2,0,1,1,0,1,0,0,0,0,3,1,0,1,1,0,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,3,0,2,0,5,5,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,3,0,1,2,0,0,4,0
45 - Αρκαδίας,2 E.T. Δήμου Βόρειας Κυνουρίας,516,327,5,3,8,319,142,75,0,47,3,5,58,11,3,7,17,3,52,30,2,15,0,0,19,4,4,1,3,3,13,4,1,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,8,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,4,2,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,2,0,1,0,1,1,6,1
45 - Αρκαδίας,3 E.T. Δήμου Βόρειας Κυνουρίας,509,330,2,1,3,327,145,84,0,37,2,11,63,15,2,11,26,1,58,21,0,23,5,1,22,0,4,0,2,9,2,2,0,0,0,0,5,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,5,4,2,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,2,0,2,0,5,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45 - Αρκαδίας,4 E.T. Δήμου Βόρειας Κυνουρίας,519,335,12,3,15,320,121,53,2,37,10,8,68,18,1,12,19,5,47,20,0,17,2,0,21,0,3,0,3,4,5,1,1,0,1,1,10,0,3,1,1,1,1,0,0,1,0,0,0,6,1,4,0,4,2,0,0,0,0,10,3,5,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,0,9,7,0,1,1,1,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,1,0,6,4
45 - Αρκαδίας,5 E.T. Δήμου Βόρειας Κυνουρίας,509,344,7,1,8,336,145,76,1,39,11,7,69,10,1,19,26,2,56,22,0,19,8,1,11,1,1,0,2,4,11,3,0,0,0,4,7,0,3,0,2,0,2,0,1,0,0,0,0,2,1,0,0,2,2,2,1,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,4,3,0,1,2,1,1,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,5,2
45 - Αρκαδίας,6 E.T. Δήμου Βόρειας Κυνουρίας,142,57,2,1,3,54,24,18,0,1,2,1,5,1,1,2,1,0,9,3,0,6,0,0,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0
45 - Αρκαδίας,7 E.T. Δήμου Βόρειας Κυνουρίας,445,284,5,1,6,278,124,75,4,17,8,11,63,10,1,12,15,5,43,12,3,24,1,0,15,1,2,1,0,9,5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,5,3,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,2,1,2,2,0,1,1,0,1,0,0,0,0,0,8,1
45 - Αρκαδίας,8 E.T. Δήμου Βόρειας Κυνουρίας,438,277,4,2,6,271,141,81,2,15,9,17,50,5,2,13,14,12,27,9,1,13,0,2,15,1,1,0,0,5,9,1,3,0,0,2,6,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,1,0,0,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,3
45 - Αρκαδίας,9 E.T. Δήμου Βόρειας Κυνουρίας,143,37,1,0,1,36,19,13,0,0,0,2,6,0,0,3,1,0,5,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
45 - Αρκαδίας,10 E.T. Δήμου Βόρειας Κυνουρίας,556,263,5,0,5,258,127,61,2,19,25,14,59,16,1,14,20,2,41,11,1,18,1,1,9,3,3,0,1,1,3,0,0,0,1,0,8,4,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0
45 - Αρκαδίας,11 E.T. Δήμου Βόρειας Κυνουρίας,559,248,5,1,6,242,119,74,1,18,10,8,40,17,0,4,14,1,39,12,2,17,1,2,12,4,1,1,3,2,11,5,2,1,1,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,2,2,0,1,1,0,1,0,0,0,0,0,4,2
45 - Αρκαδίας,12 E.T. Δήμου Βόρειας Κυνουρίας,440,272,8,2,10,262,131,87,4,29,3,2,47,7,0,9,21,2,39,22,2,5,8,0,11,1,4,0,2,2,3,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6,1,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,1,6,5
45 - Αρκαδίας,13 E.T. Δήμου Βόρειας Κυνουρίας,421,250,3,1,4,246,131,88,1,16,9,4,40,6,2,10,14,1,33,10,1,14,7,1,9,0,0,0,6,1,11,0,2,1,1,5,4,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,3,3
45 - Αρκαδίας,14 E.T. Δήμου Βόρειας Κυνουρίας,554,324,10,1,11,313,124,69,2,9,22,10,61,9,1,23,17,1,75,43,5,19,3,1,13,0,1,1,2,2,6,3,1,0,1,1,7,0,0,1,2,0,2,1,1,0,0,0,0,4,0,0,1,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,4,0,0,5,1,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
45 - Αρκαδίας,15 E.T. Δήμου Βόρειας Κυνουρίας,571,297,9,2,11,286,86,35,2,9,23,4,50,8,3,14,11,3,95,56,3,30,0,2,16,0,5,0,1,2,8,2,1,0,0,1,3,0,1,0,1,0,2,1,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,5,2,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,4,2,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,4,3
45 - Αρκαδίας,16 E.T. Δήμου Βόρειας Κυνουρίας,153,38,0,1,1,37,19,6,0,4,7,1,5,4,0,0,0,0,5,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
45 - Αρκαδίας,17 E.T. Δήμου Βόρειας Κυνουρίας,144,19,0,1,1,18,11,2,0,4,3,0,1,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,18 E.T. Δήμου Βόρειας Κυνουρίας,398,171,0,2,2,169,57,32,2,7,1,7,25,7,0,4,10,1,48,14,1,29,0,0,9,2,2,0,1,0,2,0,2,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1
45 - Αρκαδίας,19 E.T. Δήμου Βόρειας Κυνουρίας,467,160,3,0,3,157,57,18,0,6,23,3,35,14,1,9,6,1,15,6,1,7,0,0,13,0,5,0,1,1,3,1,0,0,0,0,5,0,0,0,2,1,3,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,8,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0,1,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,7,2
45 - Αρκαδίας,20 E.T. Δήμου Βόρειας Κυνουρίας,461,138,1,0,1,137,51,21,2,3,16,4,38,20,0,12,2,3,12,6,0,3,0,1,7,1,0,0,2,1,7,3,0,1,0,1,3,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,2
45 - Αρκαδίας,21 E.T. Δήμου Βόρειας Κυνουρίας,434,282,7,0,7,275,119,49,4,14,10,27,66,7,2,31,7,3,33,18,1,9,3,0,23,0,4,0,1,12,7,1,0,1,1,0,7,1,1,1,1,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,4,2
45 - Αρκαδίας,22 E.T. Δήμου Βόρειας Κυνουρίας,323,210,3,0,3,207,139,71,1,18,11,20,29,2,0,13,7,3,16,3,0,8,1,0,7,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,2,5,4
45 - Αρκαδίας,23 E.T. Δήμου Βόρειας Κυνουρίας,256,138,0,1,1,137,54,28,2,9,6,2,36,5,0,12,10,4,25,10,0,9,0,0,11,2,1,0,1,3,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
45 - Αρκαδίας,24 E.T. Δήμου Βόρειας Κυνουρίας,564,377,5,1,6,371,165,115,0,31,7,2,41,12,0,6,10,2,53,11,5,31,0,0,37,0,3,10,5,2,12,2,0,1,0,1,7,1,1,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,2,4,6,0,0,0,0,0,0,1,0,2,0,1,0,0,1,2,0,2,0,5,5,0,0,8,2,4,1,0,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,13,10
45 - Αρκαδίας,25 E.T. Δήμου Βόρειας Κυνουρίας,209,86,0,1,1,85,25,10,1,0,8,2,23,12,0,6,2,0,13,7,0,6,0,0,9,4,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,26 E.T. Δήμου Βόρειας Κυνουρίας,122,36,1,1,2,34,17,6,0,0,6,2,12,1,1,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,27 E.T. Δήμου Βόρειας Κυνουρίας,296,234,2,1,3,231,102,58,2,18,10,7,41,4,0,13,24,0,61,35,0,20,3,1,6,0,3,0,0,0,9,0,2,0,0,1,5,1,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,28 E.T. Δήμου Βόρειας Κυνουρίας,518,293,8,0,8,285,101,67,0,15,6,3,80,19,1,10,34,4,27,9,1,11,3,1,16,3,2,0,0,5,6,1,1,0,0,1,16,1,1,1,2,3,1,1,0,0,0,0,0,3,1,0,0,2,1,3,2,0,1,6,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,6
45 - Αρκαδίας,29 E.T. Δήμου Βόρειας Κυνουρίας,504,288,3,4,7,281,120,67,3,19,10,5,68,14,0,10,29,5,35,7,6,17,2,1,12,2,3,0,3,3,8,3,0,0,0,1,8,0,2,1,1,0,4,1,2,0,0,0,0,1,1,0,0,3,3,2,1,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,2,0,6,4
45 - Αρκαδίας,30 E.T. Δήμου Βόρειας Κυνουρίας,215,63,0,1,1,62,37,29,0,3,3,0,6,2,0,2,1,1,10,4,0,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
45 - Αρκαδίας,31 E.T. Δήμου Βόρειας Κυνουρίας,98,30,0,0,0,30,12,5,0,2,2,1,10,2,0,4,1,0,6,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,32 E.T. Δήμου Βόρειας Κυνουρίας,296,178,4,0,4,174,71,47,0,13,2,5,25,4,1,10,7,0,47,22,0,19,1,1,9,1,0,0,7,1,6,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,3,3,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1
45 - Αρκαδίας,33 E.T. Δήμου Βόρειας Κυνουρίας,363,232,5,0,5,227,109,65,0,17,5,14,34,5,1,11,6,5,31,11,1,12,2,1,13,0,2,2,3,2,7,2,1,0,0,1,5,0,0,1,1,0,2,0,1,2,1,0,0,2,2,0,0,2,0,3,1,0,0,5,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,4,3
45 - Αρκαδίας,34 E.T. Δήμου Βόρειας Κυνουρίας,398,254,8,2,10,244,117,85,1,13,3,10,34,8,1,8,13,3,41,18,1,19,0,0,15,0,5,1,0,4,7,0,2,0,1,3,5,0,1,1,1,1,4,0,3,0,0,1,1,5,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,3
45 - Αρκαδίας,35 E.T. Δήμου Βόρειας Κυνουρίας,231,106,0,0,0,106,61,41,0,8,3,6,13,3,0,2,5,0,14,1,3,7,1,0,5,1,0,0,1,0,6,4,1,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,36 E.T. Δήμου Βόρειας Κυνουρίας,270,80,1,1,2,78,33,16,0,11,4,0,12,0,1,7,2,2,12,4,1,6,0,0,16,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45 - Αρκαδίας,37 E.T. Δήμου Βόρειας Κυνουρίας,129,42,1,0,1,41,12,7,0,3,0,0,12,0,0,1,10,0,6,3,0,3,0,0,10,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
