ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΡΟΥΤΣΗΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Βασιλείου,ΚΑΦΟΥΡΟΣ ΜΑΡΚΟΣ του Εμμανουήλ,ΜΟΝΟΓΥΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΠΡΙΝΙΑ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΦΟΡΤΩΜΑΣ ΦΙΛΙΠΠΟΣ του Αριστοτέλη,ΧΑΛΚΙΑ ΑΝΘΗ του Γεωργίου,ΣΥΡΙΖΑ,ΒΛΑΣΤΑΡΗ ΕΙΡΗΝΗ του Κωνσταντίνου,ΓΛΕΖΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΚΑΡΑΜΟΛΕΓΚΟΥ ΘΑΛΛΕΛΑΙΑ (ΙΑΚΩΒΙΝΑ - ΘΑΛΕΙΑ) του Ηλία,ΜΑΡΑΓΚΟΣ ΓΕΩΡΓΙΟΣ του Ισιδώρου,ΣΥΡΜΑΛΕΝΙΟΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΧΑΝΙΩΤΗ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ (ΑΝΤΩΝΑΚΗ) ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΒΛΑΣΕΡΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΜΑΚΡΥΩΝΙΤΗΣ ΓΕΩΡΓΙΟΣ (ΤΖΩΡΤΖΗΣ) του Νικολάου,ΠΟΛΑΤΣΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΠΟΛΙΤΗ ΟΛΓΑ του Νικολάου,ΠΟΛΥΧΡΟΝΑΚΟΣ ΙΩΑΝΝΗΣ του Αλεξίου (Σέργης),Κ.Κ.Ε.,ΒΛΑΧΟΣ ΑΝΔΡΕΑΣ του Χρήστου,ΓΚΙΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ιωάννη,ΚΑΪΛΗΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,ΚΟΡΡΕΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΡΩΤΟΠΑΠΑ ΦΡΑΤΖΕΣΚΑ του Ιακώβου,ΡΕΜΟΥΝΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΑΜΠΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΒΡΑΧΑΜΗ ΕΙΡΗΝΗ του Ελευθερίου,ΜΠΟΥΛΜΕΤΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΣΑΚΕΛΛΑΡΙΟΣ ΝΙΚΟΛΑΟΣ του Φλώρου,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Θεοδώρου,ΧΑΣΤΑΤΖΕΡΗ ΣΟΥΛΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σωκράτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΛΕΖΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΖΟΥΛΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΝΕΡΟΥΤΣΟΣ ΙΣΙΔΩΡΟΣ του Ιωάννη,ΠΑΠΙΟΠΟΥΛΟΥ ΑΝΝΑ του Παναγιώτη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΙΝΤΖΑΣ ΑΘΑΝΑΣΙΟΣ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΜΑΚΟΣ ΗΛΙΑΣ του Αλεξάνδρου,Ο.Κ.Δ.Ε.,ΣΕΜΙΖΙΔΟΥ ΜΑΡΙΑ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΑ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΒΟΥΤΣΙΝΟΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΔΗΜΗΤΡΕΛΟΣ ΛΟΥΚΑΣ του Δημητρίου,ΚΑΜΠΡΗΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΠΛΑΚΙΩΤΗ ΧΡΥΣΟΥΛΑ του Μιχαήλ,Κίνημα 21,ΑΡΑΓΙΑΝΝΗΣ ΕΥΑΓΓΕΛΟΣ του Πέτρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΔΑΜΙΔΗΣ ΦΙΛΙΠΠΟΣ του Παναγιώτη,ΔΗΜΗΤΡΙΟΥ ΠΕΤΡΟΣ του Ευαγγέλου,ΜΑΝΟΥ ΑΛΕΞΑΝΔΡΑ του Ορφέως Γεωργίου,ΜΟΣΧΟΒΗ ΑΝΝΑ του Βασιλείου,ΝΙΚΗ,ΑΥΛΙΤΗ ΘΕΟΔΩΡΑ του Μάρκου,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη,ΣΑΝΗ ΙΩΑΝΝΑ του Νικολάου,ΣΥΡΙΑΝΟΥ ΜΑΡΙΑ της Νικολάου,ΧΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννου,κοινωνία αξιών,ΧΑΛΑΡΗΣ ΦΙΛΙΠΠΟΣ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΞΑΓΟΡΑΡΗ ΦΩΤΕΙΝΗ του Δημήτρίου,ΟΡΦΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,Ο.Α.Κ.Κ.Ε.,ΔΙΠΛΑΡΑΚΗ ΑΝΝΑ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΤΣΩΝΗ ΙΩΑΝΝΑ του Μιχαήλ,Ελλήνων Συνέλευσις,ΒΑΒΛΙΑΚΗ ΣΤΑΥΡΟΥΛΑ του Δημητρίου,ΚΟΥΝΑΔΗΣ ΙΩΑΝΝΗΣ του Ματθαίου,Ένωση Κεντρώων,ΑΑΡΩΝ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,ΔΡΙΛΛΗ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΜΑΝΔΗΛΑΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΥΡΣΙΑΔΗ ΚΑΛΛΙΟΠΗ - ΔΗΜΗΤΡΑ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΜΠΑΤΖΑΚΑ ΛΕΥΚΗ του Ιωάννη,ΠΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΛΕΞΑΝΔΡΑΚΗ ΔΙΑΜΑΝΤΩ του Αθανασίου,ΔΟΓΟΥ ΖΩΓΡΑΦΙΑ του Παντελή,ΛΑΜΠΡΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Εμμανουήλ,ΠΑΠΑΜΑΝΩΛΗ ΑΣΗΜΙΝΑ του Γεωργίου,ΣΙΔΕΡΗΣ ΙΩΑΝΝΗΣ του Παύλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΡΒΑΡΑ του Βασιλείου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΥΜΒΡΑΓΟΥΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΒΑΓΙΟΥ ΣΤΥΛΙΑΝΗ του Ιωάννη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΛΜΠΕΡΤΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΒΙΡΒΙΛΗ ΣΤΑΥΡΟΥΛΑ του Σταύρου,ΚΑΜΝΙΤΣΗ ΝΙΟΒΗ του Χρήστου,ΜΑΛΑΚΑΤΕΣ ΕΥΑΓΓΕΛΟΣ του Ιακώβου,ΤΣΟΥΚΑΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Οικολόγοι Πράσινοι,ΔΕΛΛΑΤΟΛΑΣ ΜΑΤΘΑΙΟΣ του Ιωάννη,ΚΑΛΛΙΒΡΟΥΣΗΣ ΦΡΑΝΤΖΕΣΚΟΣ του Στεργίου,ΣΟΦΟΥ ΕΙΡΗΝΗ του Παναγιώτη,ΕΑΝ...,ΑΓΑΣ ΣΤΑΜΑΤΙΟΣ του Νικολάου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΖΑΒΑΛΗΣ ΑΓΓΕΛΟΣ του Αντωνίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΜΠΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Εμμανουήλ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΦΩΤΕΙΝΗ του Διογένη
51 - Κυκλάδων,1 E.T. Δήμου Άνδρου,453,237,5,2,7,230,128,98,1,46,20,28,10,27,8,1,3,8,6,3,15,3,1,2,2,9,0,11,0,0,1,0,2,7,17,5,5,6,1,3,1,9,1,1,1,1,2,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,7,3,2,0,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,1,1,1,0,6,5,5
51 - Κυκλάδων,2 E.T. Δήμου Άνδρου,432,205,5,2,7,198,120,82,3,34,16,36,7,20,10,3,1,5,5,5,11,1,1,1,0,6,0,5,0,0,0,0,0,2,5,1,2,2,0,0,1,7,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,0,2,5,4,1,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5,2,4,2,1,0,0,0,4,2,3
51 - Κυκλάδων,3 E.T. Δήμου Άνδρου,456,199,2,2,4,195,107,66,4,44,5,37,5,18,4,4,1,3,11,1,9,1,0,2,0,8,1,14,0,0,1,3,1,8,9,2,2,5,2,0,2,6,3,1,2,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,1,7,5,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,3,2,1,1,0,0,0,0,0,0,3,0,1,0,1,0,1,1,8,5,7
51 - Κυκλάδων,4 E.T. Δήμου Άνδρου,427,184,2,0,2,182,94,58,4,27,12,39,6,33,13,2,2,7,11,5,10,2,0,4,1,6,1,13,1,0,1,5,1,12,7,2,0,5,0,0,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,0,2,1,0,0,0,0,11,5,6
51 - Κυκλάδων,5 E.T. Δήμου Άνδρου,463,228,4,3,7,221,140,81,2,50,29,55,11,17,5,4,1,3,4,1,6,0,0,0,0,3,2,17,2,1,1,3,4,11,12,3,1,6,3,1,0,6,3,3,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,8,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,4,7
51 - Κυκλάδων,6 E.T. Δήμου Άνδρου,365,158,2,1,3,155,89,56,6,31,15,29,5,11,2,3,0,2,5,0,9,1,0,0,1,8,1,6,0,0,0,1,0,5,6,1,1,5,1,1,0,13,8,1,1,1,6,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,10,3,5
51 - Κυκλάδων,7 E.T. Δήμου Άνδρου,198,89,5,0,5,84,43,26,3,22,3,14,2,11,5,2,0,5,2,2,4,0,0,0,0,3,0,2,0,0,0,0,1,1,3,1,1,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3
51 - Κυκλάδων,8 E.T. Δήμου Άνδρου,587,239,5,0,5,234,134,77,6,51,12,50,4,30,11,9,6,6,14,2,10,4,2,1,0,4,3,19,1,3,4,0,1,15,13,3,5,6,1,1,1,9,5,2,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,6,7
51 - Κυκλάδων,9 E.T. Δήμου Άνδρου,524,224,4,0,4,220,116,65,3,50,15,30,7,29,10,3,0,10,17,0,10,1,1,1,0,4,0,11,1,0,0,0,0,6,9,4,4,1,3,0,1,9,4,0,0,0,1,1,0,2,2,0,0,1,1,0,0,0,1,1,0,2,1,1,1,1,9,4,2,1,5,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,2,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,4
51 - Κυκλάδων,10 E.T. Δήμου Άνδρου,535,227,6,5,11,216,111,72,6,45,18,25,9,27,11,8,4,5,10,6,13,7,1,0,2,7,0,13,1,1,1,5,2,8,16,7,2,4,6,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,10,2,4,1,5,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,8,3,7
51 - Κυκλάδων,11 E.T. Δήμου Άνδρου,342,159,3,2,5,154,76,48,2,31,15,19,6,16,6,4,2,1,9,1,18,5,2,1,1,12,2,13,2,3,2,2,1,8,11,4,1,3,1,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,8,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
51 - Κυκλάδων,12 E.T. Δήμου Άνδρου,596,278,3,0,3,275,203,112,11,80,33,58,16,16,5,3,2,4,3,3,2,1,0,0,0,1,0,5,0,0,0,1,0,2,14,1,0,13,0,0,0,7,1,1,1,3,2,0,0,0,0,0,0,3,2,1,0,0,1,1,0,2,1,0,1,2,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,3,3,1,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4,3,4,0,1,0,0,0,4,3,2
51 - Κυκλάδων,13 E.T. Δήμου Άνδρου,238,96,3,2,5,91,40,14,1,18,1,16,8,9,1,2,2,0,5,2,5,1,2,1,0,3,1,13,2,1,0,1,2,11,7,4,3,2,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,2,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,2
51 - Κυκλάδων,14 E.T. Δήμου Άνδρου,492,227,5,2,7,220,123,62,3,46,4,56,5,14,4,6,4,2,6,3,16,2,1,2,1,10,2,16,1,1,2,2,5,10,18,10,5,4,3,1,4,6,3,2,1,0,0,2,2,0,0,0,0,3,2,0,0,0,2,3,2,0,0,0,0,0,7,2,0,3,4,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,2,2,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1
51 - Κυκλάδων,15 E.T. Δήμου Άνδρου,548,237,2,1,3,234,123,70,2,56,2,54,3,32,12,7,7,4,15,4,18,3,3,2,1,7,0,24,1,1,1,2,5,14,8,4,4,3,1,0,1,8,4,1,2,0,2,1,1,0,0,0,0,3,2,0,0,0,1,3,3,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,5,6
51 - Κυκλάδων,16 E.T. Δήμου Άνδρου,180,86,0,1,1,85,51,30,4,22,6,26,1,8,2,0,0,2,5,3,4,2,1,0,0,4,0,9,0,0,1,1,2,4,1,0,1,0,0,0,1,5,1,0,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
51 - Κυκλάδων,17 E.T. Δήμου Άνδρου,374,196,4,1,5,191,94,56,2,27,5,44,6,26,6,5,2,4,12,5,13,1,2,3,3,8,0,12,2,1,0,0,1,7,8,5,1,1,1,3,0,14,5,1,6,2,4,1,1,0,0,0,0,1,1,0,0,0,0,1,0,3,0,1,0,1,8,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,5,1,4
51 - Κυκλάδων,18 E.T. Δήμου Άνδρου,373,198,0,1,1,197,94,52,9,26,7,43,3,25,8,4,1,2,15,1,18,0,3,5,0,6,3,17,3,0,0,2,3,8,8,5,3,2,1,0,2,10,3,1,0,6,0,1,1,1,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,0,5,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,8,4,5
51 - Κυκλάδων,19 E.T. Δήμου Άνδρου,349,136,5,2,7,129,76,39,6,31,2,31,6,10,1,1,3,1,7,1,6,1,1,1,0,5,0,13,1,2,1,2,3,7,4,2,1,3,0,1,0,6,4,0,0,0,2,0,0,1,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,2
51 - Κυκλάδων,20 E.T. Δήμου Άνδρου,324,104,0,0,0,104,53,28,1,18,5,20,0,25,9,4,3,14,10,0,7,0,1,4,1,3,0,4,0,0,1,0,0,3,8,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51 - Κυκλάδων,21 E.T. Δήμου Άνδρου,424,261,3,1,4,257,119,69,6,47,11,30,5,66,12,6,2,15,18,22,11,2,0,2,1,2,3,12,0,2,0,1,2,5,10,4,3,1,0,1,0,5,3,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,2,1,0,1,1,0,2,2,11,4,6
51 - Κυκλάδων,22 E.T. Δήμου Άνδρου,422,238,8,2,10,228,99,61,9,43,8,32,11,50,15,8,2,9,19,10,16,4,2,0,1,11,8,14,0,0,1,5,3,10,9,4,2,1,1,1,3,3,1,0,0,1,1,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,0,1,1,0,0,5,3,2,2,2,2,2,1,6,1,4
51 - Κυκλάδων,23 E.T. Δήμου Άνδρου,81,49,1,1,2,47,32,24,2,11,0,13,0,8,0,3,0,1,6,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1
51 - Κυκλάδων,24 E.T. Δήμου Άνδρου,204,132,2,0,2,130,48,26,1,23,5,15,3,36,11,7,1,8,13,4,6,0,1,0,0,5,0,11,0,0,0,0,2,7,7,3,0,2,2,0,4,8,0,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,1,0,0
51 - Κυκλάδων,25 E.T. Δήμου Άνδρου,358,172,7,1,8,164,103,61,2,26,11,20,11,15,3,0,0,4,4,4,3,1,0,1,0,2,0,7,0,0,0,1,4,6,5,1,0,0,0,0,0,3,2,0,0,0,0,4,3,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,7,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,1,2,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,3,4
51 - Κυκλάδων,26 E.T. Δήμου Άνδρου,249,93,0,0,0,93,52,19,3,21,1,17,3,17,3,3,1,1,6,1,3,0,1,0,0,3,0,3,1,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
51 - Κυκλάδων,27 E.T. Δήμου Άνδρου,91,52,2,0,2,50,22,9,0,10,1,8,0,6,4,0,1,1,3,1,3,1,1,1,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,3
51 - Κυκλάδων,28 E.T. Δήμου Άνδρου,219,128,4,0,4,124,56,29,3,19,5,11,15,2,1,1,0,0,0,0,12,1,4,1,2,7,0,1,0,0,0,0,0,0,12,7,7,1,1,2,1,5,4,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,12,1,6
51 - Κυκλάδων,29 E.T. Δήμου Άνδρου,385,188,0,1,1,187,94,62,5,32,3,30,3,32,11,7,2,11,11,3,9,2,2,0,0,6,1,16,0,0,0,1,10,10,7,4,1,3,0,0,1,8,4,0,2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,4,1,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,3,0,0,0,4,2,2
51 - Κυκλάδων,30 E.T. Δήμου Άνδρου,480,281,3,2,5,276,133,61,12,53,22,39,2,41,11,5,4,15,16,11,13,3,4,0,2,2,1,18,0,6,0,0,3,11,8,2,1,1,2,0,1,9,4,2,2,1,1,6,2,1,1,0,0,2,1,0,0,0,1,2,1,5,2,4,0,0,9,2,4,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2,1,1,1,0,0,0,0,19,7,8
51 - Κυκλάδων,31 E.T. Δήμου Άνδρου,482,317,8,1,9,308,172,98,19,71,16,56,6,38,15,3,3,18,13,12,27,5,3,8,4,23,1,10,1,1,0,2,3,7,5,2,3,1,1,0,0,4,4,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,2,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,2,1,1,0,2,1,0,0,0,0,1,1,0,0,1,1,3,1,2,1,0,0,1,1,1,0,1,1,1,1,26,17,18
51 - Κυκλάδων,32 E.T. Δήμου Άνδρου,208,106,8,0,8,98,60,35,1,20,17,11,2,9,4,7,1,1,1,2,9,0,0,2,1,7,0,1,0,0,0,0,1,1,6,1,1,4,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,2,1
51 - Κυκλάδων,33 E.T. Δήμου Άνδρου,141,84,1,0,1,83,41,22,0,18,0,19,1,18,5,1,2,3,10,8,2,1,0,0,0,2,1,7,2,0,1,0,0,5,6,3,1,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,2,2
