ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΡΑΜΠΑΤΖΗ ΣΤΕΡΓΙΑΝΗ (ΣΤΕΛΛΑ) του Ιωάννη,ΒΕΣΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Φωτίου,ΓΟΥΛΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΠΑΡΤΖΩΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Στέργιου,ΤΟΥΠΕΚΤΣΗ ΜΑΓΔΑΛΗΝΗ (ΛΙΝΑ) του Παναγιώτη,ΤΣΑΒΔΑΡΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΩΤΑΚΗ ΦΑΝΗ του Πελοπίδα,ΚΑΡΑΣΑΡΛΙΔΟΥ ΕΥΦΡΟΣΥΝΗ (ΦΡΟΣΩ) του Γεωργίου,ΜΑΡΚΟΥΛΗΣ ΑΝΤΩΝΙΟΣ του Παντελή,ΣΑΡΑΝΤΗ ΒΑΡΒΑΡΑ του Αντωνίου,ΤΟΛΚΑΣ ΑΓΓΕΛΟΣ του Χαράλαμπου,ΤΣΑΠΑΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Ανδρέα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΟΛΥΜΠΙΑ του Κωνσταντίνου,ΓΚΙΟΝΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Ηρακλή,ΔΕΛΛΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Ηλία,ΠΑΣΧΟΥ ΣΟΦΙΑ-ΘΕΟΔΩΡΑ του Αναστασίου,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΤΣΙΑΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΟΛΓΑ του Αθανασίου,ΚΟΥΤΣΟΥΠΙΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,ΜΑΝΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΤΑΜΠΑΚΗ ΙΩΑΝΝΑ του Ελευθερίου,ΤΣΑΝΑΞΙΔΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΤΣΙΟΥΛΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΟΚΥΡΗΣ ΘΩΜΑΣ του Στέφανου,ΚΑΡΑΓΙΑΝΝΗ ΑΝΤΩΝΙΑ του Περικλή,ΚΟΤΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Στυλιανού,ΜΟΥΡΑΤΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΜΠΑΝΤΩΛΑΣ ΑΠΟΣΤΟΛΟΣ - ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΤΡΕΜΠΕΛΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΔΟΞΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΚΑΡΑΝΙΚΟΛΑ ΣΤΕΛΛΑ του Ιωάννη,ΜΠΕΝΑΝΤΙΚΟΒΑ ΛΟΥΤΣΙΕ (ΛΟΥΚΙΑ) του Μίλαν,ΟΡΦΑΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΟΡΦΑΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΣΑΒΒΑΣ του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΖΙΑΚΑΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΩΡΑΪΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,Ο.Κ.Δ.Ε.,ΜΠΑΛΤΖΩΗ ΦΩΤΕΙΝΗ του Λάμπρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΗΛΩΡΙΔΗΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΑΤΙΚΑΣ ΛΑΜΠΡΟΣ του Κυρίτση,ΜΑΥΡΟΠΟΥΛΟΥ ΜΑΡΙΝΑ του Ιωάννη,ΣΤΑΜΑΤΙΟΥ ΜΑΡΙΑ  του Ιωάννη,Κίνημα 21,ΘΩΜΑΣ ΑΡΓΥΡΙΟΣ του Κωνσταντίνου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΚΟΝΤΟΓΙΑΝΝΙΔΗΣ ΠΑΥΛΟΣ του Χρήστου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΕΡΜΗΓΚΑΣ ΓΕΩΡΓΙΟΣ ΑΝΔΡΟΜΑΧΟΣ του Δημητρίου,ΡΗΓΑΝΕΖΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΤΑΤΑΡΙΔΟΥ ΕΥΓΕΝΙΑ του Ιωάννη,ΤΖΙΜΙΤΣΗ ΑΝΝΑ του Χριστοδούλου,ΝΙΚΗ,ΑΘΑΝΑΣΙΑΔΟΥ ΕΛΕΝΗ του Θεοδώρου,ΔΗΝΩΡΗΣ ΘΩΜΑΣ του Χρήστου,ΜΑΡΟΥΦΙΔΟΥ ΜΑΡΙΑ του Νικολάου,ΜΗΤΤΑΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΠΕΤΙΚΟΠΟΥΛΟΥ ΑΘΗΝΑ του Γεωργίου,ΧΡΥΣΟΜΑΛΛΟΣ ΘΩΜΑΣ του Αντωνίου,κοινωνία αξιών,ΒΥΤΙΝΙΩΤΗΣ ΕΥΣΤΑΘΙΟΣ (ΣΤΑΘΗΣ) του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΙΩΑΝΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΑΔΕΝΛΗ ΠΑΡΘΕΝΑ του Αλέξανδρου,Ο.Α.Κ.Κ.Ε.,ΣΕΓΚΟΥ ΒΑΡΒΑΡΑ του Ματθαίου,Μ-Λ Κ.Κ.Ε.,ΧΑΤΖΗΘΕΟΔΩΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,Ελλήνων Συνέλευσις,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΤΣΑΠΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ του Γεωργίου,Ένωση Κεντρώων,ΑΚΕΨΩΜΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,ΓΑΛΛΟΥ ΙΩΑΝΝΑ του Αδάμ,ΜΠΑΛΤΖΗΣ ΧΡΗΣΤΟΣ του Στέφανου,ΤΣΟΥΜΑ ΣΩΤΗΡΙΑ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΕΥΑΓΓΕΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΜΠΙΡΟΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΜΗΤΤΑ ΟΛΥΜΠΙΑ του Ηλία,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΕΛΕΥΘΕΡΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΕΤΡΟΥ ΓΕΩΡΓΙΑ του Θωμά,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΠΟΥΓΑΤΣΑΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΙΚΟΛΑΪΔΗΣ ΠΡΟΔΡΟΜΟΣ του Γρηγορίου,Οικολόγοι Πράσινοι,ΣΩΤΗΡΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Πολυχρόνη,ΕΑΝ...,ΣΑΚΛΑΣ ΞΕΝΟΚΡΑΤΗΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΑΝΘΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδων,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΑΔΟΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΚΟΥΛΑΡΙΩΤΗ ΕΛΕΝΗ του Παναγιώτη
12 - Ημαθίας,1 E.T. Δήμου Αλεξανδρείας,527,330,7,0,7,323,139,7,106,2,60,6,27,72,25,26,14,9,13,9,31,9,21,0,2,3,4,11,5,2,1,5,0,0,23,3,14,4,1,10,4,5,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,4,1,1,0,2,6,1,0,1,1,3,2,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,4,3,1,1,1,1,13,5,8
12 - Ημαθίας,2 E.T. Δήμου Αλεξανδρείας,530,329,4,0,4,325,131,3,101,7,59,3,16,46,16,18,7,7,9,3,35,7,19,0,1,3,6,15,8,2,3,3,1,0,40,8,10,6,9,10,2,11,2,4,2,1,2,3,1,0,0,0,0,0,1,0,0,0,0,3,1,4,2,0,0,0,0,0,12,3,0,5,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,1,0,0,1,1,1,3,2,1,0,7,4,2,1,1,0,7,2,4
12 - Ημαθίας,3 E.T. Δήμου Αλεξανδρείας,536,361,8,1,9,352,144,7,96,2,59,7,45,50,23,19,10,5,10,3,46,17,17,3,8,6,9,26,16,6,1,10,0,3,24,5,7,1,1,6,2,6,2,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,2,3,3,0,0,0,0,0,20,2,4,0,2,5,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0,0,3,2,2,2,3,2,0,0,0,0,11,6,7
12 - Ημαθίας,4 E.T. Δήμου Αλεξανδρείας,525,269,7,1,8,261,106,7,80,0,44,9,22,66,25,16,10,4,19,9,32,4,20,2,1,4,5,11,4,3,1,5,0,1,12,3,4,0,1,3,2,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,2,0,0,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,3,0,0,4,0,1,1,0,0,10,5,7
12 - Ημαθίας,5 E.T. Δήμου Αλεξανδρείας,529,272,14,1,15,257,97,2,71,4,40,2,25,75,33,21,14,7,13,4,29,5,19,0,3,1,5,5,2,0,0,2,0,0,10,3,2,2,2,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,13,7,3,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,2,0,2,2,0,0,11,3,3
12 - Ημαθίας,6 E.T. Δήμου Αλεξανδρείας,520,309,13,2,15,294,128,6,90,3,65,3,24,45,20,14,11,6,10,5,21,10,9,0,4,4,4,25,15,0,1,11,5,1,26,8,9,4,2,6,4,4,0,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,2,2,18,3,3,4,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,2,2,3,3,0,0,3,3,0,0,0,0,5,2,2
12 - Ημαθίας,7 E.T. Δήμου Αλεξανδρείας,532,275,5,1,6,269,91,5,55,3,40,0,25,72,21,19,15,7,24,3,37,4,33,1,1,3,1,7,4,1,0,3,0,0,13,0,2,1,0,7,2,3,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,22,7,7,2,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,12,7,5
12 - Ημαθίας,8 E.T. Δήμου Αλεξανδρείας,546,344,2,3,5,339,153,7,113,1,75,7,37,60,19,25,7,8,17,8,39,7,24,3,4,7,6,17,14,2,0,10,0,0,21,4,5,5,2,5,3,6,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,2,2,13,2,0,3,0,5,2,0,0,1,0,0,1,0,0,0,0,1,1,1,2,0,0,1,1,0,0,2,2,0,0,1,0,1,2,2,0,0,2,1,3,1,0,0,10,3,7
12 - Ημαθίας,9 E.T. Δήμου Αλεξανδρείας,530,344,3,2,5,339,135,3,89,2,65,9,24,63,21,25,10,7,11,4,30,13,19,3,3,3,3,13,6,2,2,4,1,1,34,7,17,3,2,13,6,7,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,2,1,2,1,0,1,0,24,5,2,2,0,14,5,0,0,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,3,1,1,7,6,0,0,2,0,1,1,0,0,4,0,2
12 - Ημαθίας,10 E.T. Δήμου Αλεξανδρείας,523,257,4,2,6,251,86,9,54,8,35,1,16,50,19,16,12,3,15,1,52,13,39,0,2,8,2,7,2,0,0,2,1,0,14,2,3,2,2,1,2,7,2,1,1,3,2,1,0,0,1,1,1,0,2,0,0,1,0,5,3,3,2,0,0,0,0,0,13,6,1,1,0,7,5,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1
12 - Ημαθίας,11 E.T. Δήμου Αλεξανδρείας,497,276,9,3,12,264,93,3,73,2,39,2,15,56,16,16,13,12,9,1,41,7,30,0,5,6,5,2,2,0,0,2,0,0,15,4,7,1,2,5,2,8,3,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,9,6,2,0,0,0,0,12,2,1,1,0,9,2,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0,1,5,4,1,0,1,0,0,0,0,0,11,2,6
12 - Ημαθίας,12 E.T. Δήμου Αλεξανδρείας,537,340,5,1,6,334,163,15,121,2,80,6,31,56,15,17,8,14,16,6,37,9,22,0,4,7,5,12,7,1,4,3,1,0,13,6,4,0,0,2,7,8,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,1,1,3,5,15,3,1,2,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,12,8,9
12 - Ημαθίας,13 E.T. Δήμου Αλεξανδρείας,529,361,7,4,11,350,134,6,96,9,72,4,32,62,21,22,21,6,18,6,51,11,38,1,3,4,3,21,13,3,3,12,2,1,16,4,8,4,3,3,3,3,0,2,0,0,0,1,5,3,0,0,0,0,1,0,0,1,0,2,1,4,2,4,2,2,0,0,13,4,0,2,0,5,4,1,1,2,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,4,3,1,1,6,5,1,1,4,2,9,6,7
12 - Ημαθίας,14 E.T. Δήμου Αλεξανδρείας,517,324,6,1,7,317,142,5,104,3,70,7,43,37,13,8,10,6,9,4,43,14,30,0,0,8,5,8,4,2,1,4,1,0,26,9,6,4,7,5,5,13,1,5,3,3,2,1,0,0,0,0,0,0,1,0,0,0,0,4,3,2,2,4,2,1,1,1,14,11,3,3,1,3,4,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,0,8,5,1,0,0,0,6,2,3
12 - Ημαθίας,15 E.T. Δήμου Αλεξανδρείας,526,350,10,1,11,339,126,4,106,4,41,6,35,69,31,17,15,7,21,5,42,10,23,1,3,4,5,18,14,3,6,7,0,0,22,8,6,3,3,2,4,12,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4,0,0,0,2,22,4,2,2,4,9,10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2,1,1,0,0,0,0,6,1,0,0,0,0,9,4,5
12 - Ημαθίας,16 E.T. Δήμου Αλεξανδρείας,530,320,11,2,13,307,115,4,96,1,49,7,25,69,23,26,6,8,23,12,44,11,28,2,2,7,6,13,8,1,1,4,0,1,13,0,5,4,3,2,3,4,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,16,4,3,2,1,13,9,1,1,5,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,4,2,0,0,1,1,3,3,1,0,9,5,8
12 - Ημαθίας,17 E.T. Δήμου Αλεξανδρείας,524,339,4,1,5,334,116,6,81,0,52,11,34,83,20,29,24,7,31,4,24,9,14,2,0,3,5,25,19,4,2,17,0,0,29,16,8,6,4,4,9,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,0,1,0,1,15,2,1,2,1,7,5,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,5,4,0,0,3,2,2,1,1,1,1,3,3,0,0,1,1,13,10,9
12 - Ημαθίας,18 E.T. Δήμου Αλεξανδρείας,523,241,17,1,18,223,66,0,45,1,29,2,17,78,35,20,22,5,9,4,27,5,23,0,3,5,2,5,1,0,1,1,0,0,13,4,3,2,0,1,4,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,4,1,0,0,5,4,1,1,0,0,5,1,2
12 - Ημαθίας,19 E.T. Δήμου Αλεξανδρείας,528,344,7,1,8,336,132,6,89,3,58,9,26,73,27,30,14,10,21,5,33,10,21,5,1,1,4,13,4,2,1,1,1,0,23,1,5,4,4,4,8,10,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,4,3,4,0,0,1,3,9,4,0,2,0,3,4,1,1,2,2,1,0,0,0,0,0,1,1,1,2,1,1,0,0,1,0,5,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,13,7,10
12 - Ημαθίας,20 E.T. Δήμου Αλεξανδρείας,471,304,7,1,8,296,117,7,84,1,60,1,31,50,20,23,4,6,19,1,30,13,18,0,2,0,1,14,6,0,3,4,0,2,20,10,5,5,2,5,3,12,2,5,2,1,2,1,1,1,1,1,0,0,2,0,0,1,2,4,2,0,0,3,0,0,1,0,24,4,3,5,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,3,0,0,0,0,1,0,0,0,10,7,6
12 - Ημαθίας,21 E.T. Δήμου Αλεξανδρείας,465,307,7,0,7,300,116,8,89,0,43,5,32,72,33,24,17,2,14,6,34,10,23,1,6,2,7,4,4,0,0,0,0,0,27,4,9,9,5,9,3,5,0,2,2,1,1,0,6,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,14,5,1,4,2,3,5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,6,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,6,4,5
12 - Ημαθίας,22 E.T. Δήμου Αλεξανδρείας,457,312,4,3,7,305,106,14,64,2,48,12,33,89,45,23,14,9,27,5,40,7,24,5,1,2,15,3,0,0,0,2,0,0,28,3,9,5,2,11,5,4,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,1,0,0,0,2,0,3,1,0,2,0,12,3,1,3,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,2,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,5,4,4
12 - Ημαθίας,23 E.T. Δήμου Αλεξανδρείας,390,288,4,1,5,283,128,6,100,0,57,1,38,40,20,12,8,3,10,5,44,5,29,4,0,2,11,1,1,0,0,1,0,0,37,10,16,5,4,11,6,4,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,2,2,2,1,0,0,0,0,0,9,3,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,1,4,1,0,0,5,2,2
12 - Ημαθίας,24 E.T. Δήμου Αλεξανδρείας,384,280,7,0,7,273,128,7,100,0,65,5,28,44,9,14,13,6,6,7,32,9,21,0,0,6,5,3,3,0,0,3,0,0,28,7,13,2,1,16,6,4,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,3,2,4,1,1,0,1,4,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,2,1,1,1,0,0,0,1,1,1,1,0,0,8,5,5
12 - Ημαθίας,25 E.T. Δήμου Αλεξανδρείας,426,287,3,1,4,283,101,7,70,2,49,1,28,36,15,15,3,2,10,1,70,21,41,0,7,15,11,5,2,1,1,0,0,1,25,4,5,3,3,10,7,3,0,1,1,1,1,0,1,1,0,0,0,0,2,1,0,0,1,1,1,0,0,3,1,0,0,0,14,5,1,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,2,1,15,5,5
12 - Ημαθίας,26 E.T. Δήμου Αλεξανδρείας,373,256,10,2,12,244,83,6,64,2,31,4,29,26,11,8,6,2,5,3,73,3,68,0,14,2,4,4,1,0,1,1,0,0,22,5,12,1,2,2,4,4,0,1,2,0,2,0,2,2,2,1,1,0,1,0,0,0,0,6,4,4,1,1,1,0,0,0,7,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,1,1
12 - Ημαθίας,27 E.T. Δήμου Αλεξανδρείας,369,221,4,1,5,216,69,1,46,2,24,10,27,34,18,11,8,2,5,4,74,3,71,1,9,2,1,11,5,1,1,4,3,2,14,7,3,2,5,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
12 - Ημαθίας,28 E.T. Δήμου Αλεξανδρείας,395,269,2,1,3,266,119,4,58,2,57,8,48,42,10,12,11,4,18,4,47,12,28,3,4,11,9,3,3,1,0,2,0,0,26,11,6,2,3,5,6,2,1,1,0,2,0,0,2,2,0,0,0,0,2,1,0,1,2,8,5,0,0,0,0,0,0,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,4,1,1
12 - Ημαθίας,29 E.T. Δήμου Αλεξανδρείας,391,281,3,0,3,278,111,2,65,0,43,4,42,51,10,19,22,7,19,5,44,17,18,0,3,11,2,14,8,1,0,9,2,0,17,5,3,0,2,2,4,7,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,6,3,3,0,2,0,0,0,1,6,3,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,2,1,1,0,2,0,2,0,0,0,4,1,0
12 - Ημαθίας,30 E.T. Δήμου Αλεξανδρείας,444,294,4,1,5,289,143,4,82,1,40,9,84,31,8,10,6,8,9,3,46,10,29,1,2,4,4,4,2,2,0,1,1,0,28,22,5,0,2,0,6,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,6,1,0,3,1,6,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,3,2,1,1,8,5,6
12 - Ημαθίας,31 E.T. Δήμου Αλεξανδρείας,456,333,2,1,3,330,181,2,106,7,61,6,116,27,7,1,14,5,2,4,29,6,19,0,5,5,5,3,3,0,0,3,0,0,46,38,10,3,5,4,3,5,2,1,0,0,0,1,2,2,1,1,0,0,1,0,0,0,0,2,2,2,2,0,0,0,0,0,8,1,2,2,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,2,2,1,1,2,2,2,3,1,0,0,2,1,2,2,0,0,6,5,6
12 - Ημαθίας,32 E.T. Δήμου Αλεξανδρείας,443,319,7,0,7,312,165,7,79,2,50,5,108,20,3,7,4,5,8,5,45,12,29,3,6,7,12,0,0,0,0,0,0,0,40,32,3,1,5,8,6,1,0,1,0,0,0,0,4,3,1,1,0,0,0,0,0,0,0,3,2,2,1,0,0,0,0,0,11,4,3,0,2,4,4,0,0,0,0,0,0,0,0,1,0,3,2,2,1,0,1,0,1,0,0,3,3,0,0,3,1,1,1,1,2,2,1,1,1,0,0,0,4,2,3
12 - Ημαθίας,33 E.T. Δήμου Αλεξανδρείας,365,258,7,3,10,248,123,4,95,3,46,5,27,30,12,7,9,3,4,2,28,3,21,1,0,5,6,8,6,0,1,3,1,1,11,2,2,1,2,4,1,1,0,0,0,1,0,0,5,2,1,1,0,0,2,0,1,0,1,1,1,3,2,1,0,1,0,0,11,4,1,2,1,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5,1,0,0,2,0,0,1,0,0,0,2,0,0,0,3,2,7,3,5
12 - Ημαθίας,34 E.T. Δήμου Αλεξανδρείας,372,290,6,0,6,284,128,5,94,3,46,10,38,36,8,6,8,0,16,1,40,3,34,1,3,2,1,9,3,2,1,2,1,2,36,3,10,1,10,16,4,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,0,0,0,1,6,0,0,2,1,1,1,0,0,2,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,2,0,2,1,0,0,8,4,6
